"Frankfurt";"PLFERRO00016";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"01.02.24";"6,96";"6,96";"6,96";"6,96";"";""
"31.01.24";"6,92";"6,92";"6,92";"6,92";"";""
"30.01.24";"7,02";"7,02";"7,02";"7,02";"";""
"29.01.24";"6,96";"6,96";"6,96";"6,96";"";""
"26.01.24";"6,86";"6,86";"6,86";"6,86";"";""
"25.01.24";"6,94";"6,94";"6,94";"6,94";"";""
"24.01.24";"6,90";"6,90";"6,90";"6,90";"";""
"23.01.24";"6,82";"6,82";"6,82";"6,82";"";""
"22.01.24";"6,86";"6,94";"6,94";"6,86";"56";"8"
"19.01.24";"6,78";"6,78";"6,78";"6,78";"";""
"18.01.24";"6,82";"6,82";"6,82";"6,82";"";""
"17.01.24";"7,16";"7,16";"7,16";"7,16";"";""
"16.01.24";"7,28";"7,28";"7,28";"7,28";"";""
"15.01.24";"7,22";"7,22";"7,22";"7,22";"";""
"12.01.24";"7,40";"7,40";"7,40";"7,40";"";""
"11.01.24";"7,32";"7,32";"7,32";"7,32";"";""
"10.01.24";"7,06";"7,06";"7,06";"7,06";"";""
"09.01.24";"6,96";"6,96";"6,96";"6,96";"";""
"08.01.24";"6,92";"6,92";"6,92";"6,92";"";""
"05.01.24";"6,92";"6,92";"6,92";"6,92";"";""
"04.01.24";"7,02";"7,60";"7,60";"7,02";"114";"15"
"03.01.24";"7,04";"7,04";"7,04";"7,04";"";""
"02.01.24";"6,90";"6,90";"6,90";"6,90";"";""
"29.12.23";"6,88";"6,88";"6,88";"6,88";"";""
"28.12.23";"6,88";"6,88";"6,88";"6,88";"";""
"27.12.23";"7,00";"7,00";"7,00";"7,00";"";""
"22.12.23";"7,00";"7,00";"7,00";"7,00";"";""
"21.12.23";"6,98";"6,98";"6,98";"6,98";"";""
"20.12.23";"7,04";"7,04";"7,04";"7,04";"";""
"19.12.23";"6,96";"6,96";"6,96";"6,96";"";""
"18.12.23";"7,00";"7,00";"7,00";"7,00";"";""
"15.12.23";"6,96";"6,96";"6,96";"6,96";"";""
"14.12.23";"6,96";"6,96";"6,96";"6,96";"";""
"13.12.23";"7,04";"7,04";"7,04";"7,04";"";""
"12.12.23";"7,02";"7,02";"7,02";"7,02";"";""
"11.12.23";"6,92";"6,92";"6,92";"6,92";"";""
"08.12.23";"6,90";"6,90";"6,90";"6,90";"";""
"07.12.23";"6,98";"6,98";"6,98";"6,98";"";""
"06.12.23";"6,92";"6,92";"6,92";"6,92";"";""
"05.12.23";"7,10";"7,10";"7,10";"7,10";"";""
"04.12.23";"7,16";"7,16";"7,16";"7,16";"";""
"01.12.23";"6,64";"7,20";"7,20";"6,64";"2.268";"315"
"30.11.23";"6,44";"6,44";"6,44";"6,44";"";""
"29.11.23";"5,90";"5,90";"5,90";"5,90";"";""
"28.11.23";"5,90";"5,90";"5,90";"5,90";"";""
"27.11.23";"5,84";"5,84";"5,84";"5,84";"";""
"24.11.23";"6,00";"6,00";"6,00";"6,00";"";""
"23.11.23";"5,94";"5,94";"5,94";"5,94";"";""
"22.11.23";"5,86";"5,86";"5,86";"5,86";"";""
"21.11.23";"5,86";"5,86";"5,86";"5,86";"";""
"20.11.23";"5,82";"5,82";"5,82";"5,82";"";""
"17.11.23";"5,78";"5,78";"5,78";"5,78";"";""
"16.11.23";"5,84";"5,84";"5,84";"5,84";"";""
"15.11.23";"5,84";"5,84";"5,84";"5,84";"";""
"14.11.23";"5,74";"5,74";"5,74";"5,74";"";""
"13.11.23";"5,96";"5,96";"5,96";"5,96";"";""
"10.11.23";"5,96";"5,96";"5,96";"5,96";"";""
"09.11.23";"5,84";"5,84";"5,84";"5,84";"";""
"08.11.23";"5,90";"5,90";"5,90";"5,90";"";""
"07.11.23";"5,90";"5,90";"5,90";"5,90";"";""
"06.11.23";"5,98";"5,98";"5,98";"5,98";"";""
"03.11.23";"6,02";"6,02";"6,02";"6,02";"";""
"02.11.23";"5,96";"5,96";"5,96";"5,96";"";""
"01.11.23";"5,96";"5,96";"5,96";"5,96";"";""
