"Frankfurt";"PLFERRO00016";"";"";"";"";""
"31.10.23";"6,00";"6,00";"6,00";"6,00";"";""
"30.10.23";"5,88";"6,06";"6,06";"5,88";"48";"8"
"27.10.23";"6,00";"6,00";"6,00";"6,00";"";""
"26.10.23";"5,82";"5,82";"5,82";"5,82";"";""
"25.10.23";"5,84";"5,84";"5,84";"5,84";"";""
"24.10.23";"5,92";"5,92";"5,92";"5,92";"";""
"23.10.23";"6,06";"6,06";"6,06";"6,06";"";""
"20.10.23";"6,14";"6,14";"6,14";"6,14";"";""
"19.10.23";"6,20";"6,20";"6,20";"6,20";"";""
"18.10.23";"6,24";"6,24";"6,24";"6,24";"";""
"17.10.23";"6,26";"6,26";"6,26";"6,26";"";""
"16.10.23";"6,30";"6,30";"6,30";"6,30";"";""
"13.10.23";"6,08";"6,08";"6,08";"6,08";"";""
"12.10.23";"6,04";"6,60";"6,60";"6,04";"110";"17"
"11.10.23";"5,92";"5,92";"5,92";"5,92";"";""
"10.10.23";"5,66";"5,66";"5,66";"5,66";"";""
"09.10.23";"5,54";"5,54";"5,54";"5,54";"";""
"06.10.23";"5,62";"5,62";"5,62";"5,62";"";""
"05.10.23";"5,58";"6,24";"6,24";"5,58";"62";"10"
"04.10.23";"5,56";"5,56";"5,56";"5,56";"";""
"03.10.23";"5,68";"5,68";"5,68";"5,68";"";""
"02.10.23";"5,70";"5,70";"5,70";"5,70";"";""
"29.09.23";"5,46";"5,46";"5,46";"5,46";"";""
"28.09.23";"5,72";"5,72";"5,72";"5,72";"";""
"27.09.23";"5,78";"5,78";"5,78";"5,78";"";""
"26.09.23";"5,80";"5,80";"5,80";"5,80";"";""
"25.09.23";"5,78";"5,78";"5,78";"5,78";"";""
"22.09.23";"5,76";"5,76";"5,76";"5,76";"";""
"21.09.23";"5,92";"5,92";"5,92";"5,92";"";""
"20.09.23";"5,70";"5,70";"5,70";"5,70";"";""
"19.09.23";"5,78";"5,78";"5,78";"5,78";"";""
"18.09.23";"5,90";"5,90";"5,90";"5,90";"";""
"15.09.23";"5,80";"5,80";"5,80";"5,80";"";""
"14.09.23";"5,98";"5,98";"5,98";"5,98";"";""
"13.09.23";"6,16";"6,16";"6,16";"6,16";"";""
"12.09.23";"6,24";"6,24";"6,24";"6,24";"";""
"11.09.23";"6,24";"6,24";"6,24";"6,24";"";""
"08.09.23";"6,24";"6,24";"6,24";"6,24";"";""
"07.09.23";"6,32";"6,32";"6,32";"6,32";"";""
"06.09.23";"6,40";"6,40";"6,40";"6,40";"";""
"05.09.23";"6,52";"6,52";"6,52";"6,52";"";""
"04.09.23";"6,40";"6,40";"6,40";"6,40";"";""
"01.09.23";"6,24";"6,24";"6,24";"6,24";"";""
"31.08.23";"6,22";"6,22";"6,22";"6,22";"";""
"30.08.23";"6,22";"6,22";"6,22";"6,22";"";""
"29.08.23";"6,18";"6,18";"6,18";"6,18";"";""
"28.08.23";"6,30";"6,30";"6,30";"6,30";"";""
"25.08.23";"6,20";"6,20";"6,20";"6,20";"";""
"24.08.23";"6,22";"6,22";"6,22";"6,22";"";""
"23.08.23";"6,26";"6,26";"6,26";"6,26";"";""
"22.08.23";"6,24";"6,24";"6,24";"6,24";"";""
"21.08.23";"6,28";"6,28";"6,28";"6,28";"";""
"18.08.23";"6,32";"6,32";"6,32";"6,32";"";""
"17.08.23";"6,34";"6,34";"6,34";"6,34";"";""
"16.08.23";"6,34";"6,34";"6,34";"6,34";"";""
"15.08.23";"6,38";"6,38";"6,38";"6,38";"";""
"14.08.23";"6,40";"6,40";"6,40";"6,40";"";""
"11.08.23";"6,58";"6,58";"6,58";"6,58";"";""
"10.08.23";"6,34";"6,34";"6,34";"6,34";"";""
"09.08.23";"6,30";"6,30";"6,30";"6,30";"";""
"08.08.23";"6,50";"6,50";"6,50";"6,50";"";""
"07.08.23";"6,66";"6,66";"6,66";"6,66";"";""
"04.08.23";"6,54";"6,54";"6,54";"6,54";"";""
"03.08.23";"6,52";"7,14";"7,14";"6,52";"57";"8"
"02.08.23";"6,48";"6,48";"6,48";"6,48";"";""
"01.08.23";"6,54";"6,54";"6,54";"6,54";"";""
"31.07.23";"6,60";"6,60";"6,60";"6,60";"";""
"28.07.23";"6,66";"6,66";"6,66";"6,66";"";""
"27.07.23";"6,68";"6,68";"6,68";"6,68";"";""
"26.07.23";"6,68";"6,68";"6,68";"6,68";"";""
"25.07.23";"6,72";"6,72";"6,72";"6,72";"";""
"24.07.23";"6,62";"6,62";"6,62";"6,62";"";""
"21.07.23";"6,72";"6,72";"6,72";"6,72";"";""
"20.07.23";"6,78";"6,78";"6,78";"6,78";"";""
"19.07.23";"6,60";"6,60";"6,60";"6,60";"";""
"18.07.23";"6,60";"6,60";"6,60";"6,60";"";""
"17.07.23";"6,60";"6,60";"6,60";"6,60";"";""
"14.07.23";"6,40";"6,40";"6,40";"6,40";"";""
"13.07.23";"6,26";"6,26";"6,26";"6,26";"";""
"12.07.23";"6,08";"6,08";"6,08";"6,08";"";""
"11.07.23";"6,08";"6,08";"6,08";"6,08";"";""
"10.07.23";"6,32";"6,60";"6,60";"6,32";"99";"15"
"07.07.23";"6,28";"6,28";"6,28";"6,28";"";""
"06.07.23";"6,20";"6,20";"6,20";"6,20";"";""
"05.07.23";"6,44";"6,44";"6,44";"6,44";"";""
"04.07.23";"6,46";"6,46";"6,46";"6,46";"";""
"03.07.23";"6,38";"6,46";"6,46";"6,38";"129";"20"
"30.06.23";"6,30";"6,30";"6,30";"6,30";"";""
"29.06.23";"6,14";"6,14";"6,14";"6,14";"";""
"28.06.23";"6,02";"6,02";"6,02";"6,02";"";""
"27.06.23";"6,08";"6,08";"6,08";"6,08";"";""
"26.06.23";"6,12";"6,12";"6,12";"6,12";"";""
"23.06.23";"6,06";"6,06";"6,06";"6,06";"";""
"22.06.23";"5,98";"5,98";"5,98";"5,98";"";""
"21.06.23";"6,10";"6,10";"6,10";"6,10";"";""
"20.06.23";"6,24";"6,24";"6,24";"6,24";"";""
"19.06.23";"6,26";"6,26";"6,26";"6,26";"";""
"16.06.23";"6,36";"6,36";"6,36";"6,36";"";""
"15.06.23";"6,36";"6,36";"6,36";"6,36";"";""
"14.06.23";"6,22";"6,22";"6,22";"6,22";"";""
"13.06.23";"6,26";"6,26";"6,26";"6,26";"";""
"12.06.23";"6,28";"6,28";"6,28";"6,28";"";""
"09.06.23";"6,38";"6,38";"6,38";"6,38";"";""
"08.06.23";"6,34";"6,34";"6,34";"6,34";"";""
"07.06.23";"6,36";"6,36";"6,36";"6,36";"";""
"06.06.23";"6,38";"6,38";"6,38";"6,38";"";""
"05.06.23";"6,50";"6,50";"6,50";"6,50";"";""
"02.06.23";"6,30";"6,30";"6,30";"6,30";"";""
"01.06.23";"6,18";"6,18";"6,18";"6,18";"";""
"31.05.23";"6,42";"6,42";"6,42";"6,42";"";""
"30.05.23";"6,46";"6,46";"6,46";"6,46";"";""
"29.05.23";"6,42";"6,42";"6,42";"6,42";"";""
"26.05.23";"6,40";"6,40";"6,40";"6,40";"";""
"25.05.23";"6,52";"6,52";"6,52";"6,52";"";""
"24.05.23";"6,50";"6,50";"6,50";"6,50";"";""
"23.05.23";"6,50";"7,14";"7,14";"6,50";"14";"2"
"22.05.23";"6,46";"6,46";"6,46";"6,46";"";""
"19.05.23";"6,28";"6,28";"6,28";"6,28";"";""
"18.05.23";"6,40";"6,40";"6,40";"6,40";"";""
"17.05.23";"6,36";"6,36";"6,36";"6,36";"";""
"16.05.23";"5,86";"5,86";"5,86";"5,86";"";""
"15.05.23";"5,86";"5,86";"5,86";"5,86";"";""
"12.05.23";"5,72";"5,72";"5,72";"5,72";"";""
"11.05.23";"5,88";"5,88";"5,88";"5,88";"";""
"10.05.23";"5,90";"5,90";"5,90";"5,90";"";""
"09.05.23";"5,84";"5,84";"5,84";"5,84";"";""
"08.05.23";"5,80";"5,80";"5,80";"5,80";"";""
"05.05.23";"5,76";"5,76";"5,76";"5,76";"";""
"04.05.23";"5,78";"5,78";"5,78";"5,78";"";""
"03.05.23";"5,78";"5,78";"5,78";"5,78";"";""
"02.05.23";"5,64";"5,80";"5,80";"5,64";"174";"30"
"28.04.23";"5,80";"5,80";"5,80";"5,80";"";""
"27.04.23";"5,76";"5,76";"5,76";"5,76";"";""
"26.04.23";"5,70";"5,70";"5,70";"5,70";"";""
"25.04.23";"5,72";"5,72";"5,72";"5,72";"";""
"24.04.23";"5,64";"5,64";"5,64";"5,64";"";""
"21.04.23";"5,72";"5,72";"5,72";"5,72";"";""
"20.04.23";"5,70";"5,70";"5,70";"5,70";"";""
"19.04.23";"5,70";"5,70";"5,70";"5,70";"";""
"18.04.23";"5,78";"5,78";"5,78";"5,78";"";""
"17.04.23";"5,68";"5,68";"5,68";"5,68";"";""
"14.04.23";"5,52";"5,52";"5,52";"5,52";"";""
"13.04.23";"5,64";"5,64";"5,64";"5,64";"";""
"12.04.23";"5,44";"5,44";"5,44";"5,44";"";""
"11.04.23";"5,24";"5,24";"5,24";"5,24";"";""
"06.04.23";"5,14";"5,14";"5,14";"5,14";"";""
"05.04.23";"5,16";"5,16";"5,16";"5,16";"";""
"04.04.23";"5,10";"5,10";"5,10";"5,10";"";""
"03.04.23";"5,12";"5,12";"5,12";"5,12";"";""
"31.03.23";"5,16";"5,16";"5,16";"5,16";"";""
"30.03.23";"5,14";"5,14";"5,14";"5,14";"";""
"29.03.23";"5,02";"5,02";"5,02";"5,02";"";""
"28.03.23";"4,95";"4,95";"4,95";"4,95";"";""
"27.03.23";"4,79";"4,79";"4,79";"4,79";"";""
"24.03.23";"4,91";"4,91";"4,91";"4,91";"";""
"23.03.23";"4,90";"4,90";"4,90";"4,90";"";""
"22.03.23";"4,88";"4,88";"4,88";"4,88";"";""
"21.03.23";"4,71";"4,71";"4,71";"4,71";"";""
"20.03.23";"4,73";"5,16";"5,16";"4,73";"52";"10"
"17.03.23";"4,75";"4,75";"4,75";"4,75";"";""
"16.03.23";"4,75";"4,75";"4,75";"4,75";"";""
"15.03.23";"4,93";"4,93";"4,93";"4,93";"";""
"14.03.23";"4,97";"4,97";"4,97";"4,97";"";""
"13.03.23";"4,90";"4,90";"4,90";"4,90";"";""
"10.03.23";"4,95";"4,95";"4,95";"4,95";"";""
"09.03.23";"4,97";"4,97";"4,97";"4,97";"";""
"08.03.23";"4,95";"4,95";"4,95";"4,95";"";""
"07.03.23";"4,97";"4,97";"4,97";"4,97";"";""
"06.03.23";"4,93";"4,93";"4,93";"4,93";"";""
"03.03.23";"4,95";"4,95";"4,95";"4,95";"";""
"02.03.23";"4,99";"4,99";"4,99";"4,99";"";""
"01.03.23";"4,97";"4,97";"4,97";"4,97";"";""
"28.02.23";"4,90";"4,90";"4,90";"4,90";"";""
"27.02.23";"4,79";"4,79";"4,79";"4,79";"";""
"24.02.23";"4,91";"5,40";"5,40";"4,91";"54";"10"
"23.02.23";"4,79";"4,79";"4,79";"4,79";"";""
"22.02.23";"4,88";"4,88";"4,88";"4,88";"";""
"21.02.23";"4,93";"4,93";"4,93";"4,93";"";""
"20.02.23";"5,00";"5,00";"5,00";"5,00";"";""
"17.02.23";"4,91";"4,91";"4,91";"4,91";"";""
"16.02.23";"4,97";"4,97";"4,97";"4,97";"";""
"15.02.23";"4,95";"4,95";"4,95";"4,95";"";""
"14.02.23";"4,91";"4,91";"4,91";"4,91";"";""
"13.02.23";"4,88";"4,88";"4,88";"4,88";"";""
"10.02.23";"5,00";"5,00";"5,00";"5,00";"";""
"09.02.23";"5,02";"5,02";"5,02";"5,02";"";""
"08.02.23";"4,90";"4,90";"4,90";"4,90";"";""
"07.02.23";"5,08";"5,08";"5,08";"5,08";"";""
"06.02.23";"5,12";"5,12";"5,12";"5,12";"";""
"03.02.23";"5,18";"5,18";"5,18";"5,18";"";""
"02.02.23";"5,14";"5,14";"5,14";"5,14";"";""
"01.02.23";"5,06";"5,06";"5,06";"5,06";"";""
