"Frankfurt";"PLFERRO00016";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"30.01.26";"6,98";"6,98";"6,98";"6,98";"";""
"29.01.26";"7,04";"7,04";"7,04";"7,04";"";""
"28.01.26";"7,02";"7,02";"7,02";"7,02";"";""
"27.01.26";"6,98";"6,98";"6,98";"6,98";"";""
"26.01.26";"7,02";"7,02";"7,02";"7,02";"";""
"23.01.26";"6,96";"6,96";"6,96";"6,96";"";""
"22.01.26";"6,98";"6,98";"6,98";"6,98";"";""
"21.01.26";"7,04";"7,04";"7,04";"7,04";"";""
"20.01.26";"7,04";"7,04";"7,04";"7,04";"";""
"19.01.26";"7,06";"7,06";"7,06";"7,06";"";""
"16.01.26";"7,04";"7,04";"7,04";"7,04";"";""
"15.01.26";"6,88";"6,88";"6,88";"6,88";"";""
"14.01.26";"6,90";"6,90";"6,90";"6,90";"";""
"13.01.26";"6,88";"6,88";"6,88";"6,88";"";""
"12.01.26";"6,86";"6,86";"6,86";"6,86";"";""
"09.01.26";"7,02";"7,02";"7,02";"7,02";"";""
"08.01.26";"7,08";"7,08";"7,08";"7,08";"";""
"07.01.26";"6,96";"6,96";"6,96";"6,96";"";""
"06.01.26";"6,96";"6,96";"6,96";"6,96";"";""
"05.01.26";"6,72";"6,72";"6,72";"6,72";"";""
"02.01.26";"6,34";"6,34";"6,34";"6,34";"";""
"30.12.25";"6,06";"6,06";"6,06";"6,06";"";""
"29.12.25";"6,06";"6,06";"6,06";"6,06";"";""
"23.12.25";"6,04";"6,04";"6,04";"6,04";"";""
"22.12.25";"6,06";"6,06";"6,06";"6,06";"";""
"19.12.25";"6,16";"6,16";"6,16";"6,16";"";""
"18.12.25";"6,30";"6,30";"6,30";"6,30";"";""
"17.12.25";"6,34";"6,34";"6,34";"6,34";"";""
"16.12.25";"6,30";"6,30";"6,30";"6,30";"";""
"15.12.25";"6,36";"6,36";"6,36";"6,36";"";""
"12.12.25";"6,28";"6,28";"6,28";"6,28";"";""
"11.12.25";"6,20";"6,20";"6,20";"6,20";"";""
"10.12.25";"6,14";"6,20";"6,20";"6,14";"868";"140"
"09.12.25";"6,16";"6,16";"6,16";"6,16";"";""
"08.12.25";"6,18";"6,18";"6,18";"6,18";"";""
"05.12.25";"6,12";"6,12";"6,12";"6,12";"";""
"04.12.25";"6,10";"6,10";"6,10";"6,10";"";""
"03.12.25";"6,10";"6,10";"6,10";"6,10";"";""
"02.12.25";"6,18";"6,18";"6,18";"6,18";"";""
"01.12.25";"6,34";"6,34";"6,34";"6,34";"";""
"28.11.25";"6,44";"6,44";"6,44";"6,44";"";""
"27.11.25";"6,58";"6,58";"6,58";"6,58";"";""
"26.11.25";"6,60";"6,60";"6,60";"6,60";"";""
"25.11.25";"6,52";"6,52";"6,52";"6,52";"";""
"24.11.25";"6,62";"6,62";"6,62";"6,62";"";""
"21.11.25";"6,74";"6,74";"6,74";"6,74";"";""
"20.11.25";"6,72";"6,72";"6,72";"6,72";"";""
"19.11.25";"6,76";"6,76";"6,76";"6,76";"";""
"18.11.25";"6,76";"6,76";"6,76";"6,76";"";""
"17.11.25";"6,86";"6,86";"6,86";"6,86";"";""
"14.11.25";"7,00";"7,00";"7,00";"7,00";"";""
"13.11.25";"7,08";"7,08";"7,08";"7,08";"";""
"12.11.25";"7,10";"7,10";"7,10";"7,10";"";""
"11.11.25";"7,10";"7,10";"7,10";"7,10";"";""
"10.11.25";"7,02";"7,02";"7,02";"7,02";"";""
"07.11.25";"7,18";"7,18";"7,18";"7,18";"";""
"06.11.25";"7,14";"7,16";"7,16";"7,14";"21";"3"
"05.11.25";"7,18";"7,18";"7,18";"7,18";"";""
"04.11.25";"7,20";"7,20";"7,20";"7,20";"";""
"03.11.25";"7,14";"7,14";"7,14";"7,14";"";""
"31.10.25";"7,12";"7,12";"7,12";"7,12";"";""
"30.10.25";"7,18";"7,16";"7,68";"7,16";"10.482";"1.463"
"29.10.25";"7,22";"7,22";"7,22";"7,22";"";""
"28.10.25";"7,20";"7,20";"7,20";"7,20";"";""
"27.10.25";"7,14";"7,68";"7,68";"7,14";"1.075";"140"
"24.10.25";"7,16";"7,16";"7,16";"7,16";"";""
"23.10.25";"7,14";"7,14";"7,14";"7,14";"";""
"22.10.25";"7,16";"7,16";"7,16";"7,16";"";""
"21.10.25";"7,16";"7,16";"7,16";"7,16";"";""
"20.10.25";"7,12";"7,68";"7,68";"7,12";"108";"14"
"17.10.25";"7,18";"7,18";"7,18";"7,18";"";""
"16.10.25";"7,14";"7,14";"7,14";"7,14";"";""
"15.10.25";"7,12";"7,12";"7,12";"7,12";"";""
"14.10.25";"7,10";"7,10";"7,10";"7,10";"";""
"13.10.25";"7,14";"7,14";"7,14";"7,14";"";""
"10.10.25";"7,12";"7,12";"7,12";"7,12";"";""
"09.10.25";"7,08";"7,08";"7,08";"7,08";"";""
"08.10.25";"7,10";"7,60";"7,60";"7,10";"1.573";"207"
"07.10.25";"7,22";"7,22";"7,22";"7,22";"";""
"06.10.25";"7,08";"7,08";"7,08";"7,08";"";""
"03.10.25";"7,08";"7,08";"7,08";"7,08";"";""
"02.10.25";"7,04";"7,04";"7,04";"7,04";"";""
"01.10.25";"6,92";"6,92";"6,92";"6,92";"";""
"30.09.25";"6,90";"6,90";"6,90";"6,90";"";""
"29.09.25";"6,78";"6,78";"6,78";"6,78";"";""
"26.09.25";"7,00";"7,00";"7,00";"7,00";"";""
"25.09.25";"6,94";"6,94";"6,94";"6,94";"";""
"24.09.25";"7,08";"7,08";"7,08";"7,08";"";""
"23.09.25";"7,06";"7,48";"7,48";"7,06";"464";"62"
"22.09.25";"7,18";"7,18";"7,18";"7,18";"";""
"19.09.25";"7,40";"7,40";"7,40";"7,40";"";""
"18.09.25";"7,50";"7,50";"7,50";"7,50";"";""
"17.09.25";"7,72";"8,12";"8,12";"7,72";"244";"30"
"16.09.25";"7,76";"7,76";"7,76";"7,76";"";""
"15.09.25";"7,74";"8,26";"8,26";"7,74";"3.511";"425"
"12.09.25";"7,92";"8,20";"8,20";"7,92";"5.035";"614"
"11.09.25";"8,02";"8,02";"8,02";"8,02";"";""
"10.09.25";"8,80";"8,80";"8,80";"8,80";"";""
"09.09.25";"8,70";"8,70";"8,70";"8,70";"";""
"08.09.25";"8,66";"9,30";"9,30";"8,66";"4.817";"518"
"05.09.25";"8,68";"9,20";"9,20";"8,68";"1.012";"110"
"04.09.25";"8,62";"8,62";"8,62";"8,62";"";""
"03.09.25";"8,76";"8,76";"8,76";"8,76";"";""
"02.09.25";"8,76";"8,76";"8,76";"8,76";"";""
"01.09.25";"8,72";"8,72";"8,72";"8,72";"";""
"29.08.25";"8,78";"9,26";"9,26";"8,78";"148";"16"
"28.08.25";"8,70";"8,70";"8,70";"8,70";"";""
"27.08.25";"8,66";"8,66";"8,66";"8,66";"";""
"26.08.25";"8,58";"9,14";"9,14";"8,58";"119";"13"
"25.08.25";"8,40";"8,40";"8,40";"8,40";"";""
