"Frankfurt";"PLFERRO00016";"";"";"";"";""
"22.08.25";"8,32";"8,80";"8,80";"8,32";"1.056";"120"
"21.08.25";"8,22";"8,22";"8,22";"8,22";"";""
"20.08.25";"8,30";"8,30";"8,30";"8,30";"";""
"19.08.25";"8,16";"8,16";"8,16";"8,16";"";""
"18.08.25";"7,96";"7,96";"7,96";"7,96";"";""
"15.08.25";"7,96";"7,96";"7,96";"7,96";"";""
"14.08.25";"7,78";"7,78";"7,78";"7,78";"";""
"13.08.25";"7,76";"8,30";"8,30";"7,76";"805";"97"
"12.08.25";"7,74";"7,74";"7,74";"7,74";"";""
"11.08.25";"7,76";"7,76";"7,76";"7,76";"";""
"08.08.25";"7,72";"7,72";"7,72";"7,72";"";""
"07.08.25";"7,72";"7,72";"7,72";"7,72";"";""
"06.08.25";"7,72";"7,72";"7,72";"7,72";"";""
"05.08.25";"7,76";"7,76";"7,76";"7,76";"";""
"04.08.25";"7,70";"8,32";"8,48";"7,70";"2.108";"251"
"01.08.25";"7,82";"7,82";"7,82";"7,82";"";""
"31.07.25";"7,82";"7,82";"7,82";"7,82";"";""
"30.07.25";"7,92";"7,92";"7,92";"7,92";"";""
"29.07.25";"8,18";"8,18";"8,18";"8,18";"";""
"28.07.25";"8,10";"8,10";"8,10";"8,10";"";""
"25.07.25";"8,44";"8,44";"8,44";"8,44";"";""
"24.07.25";"8,44";"8,44";"8,44";"8,44";"";""
"23.07.25";"8,42";"8,42";"8,42";"8,42";"";""
"22.07.25";"8,52";"8,52";"8,52";"8,52";"";""
"21.07.25";"8,42";"9,02";"9,02";"8,42";"27";"3"
"18.07.25";"8,42";"8,96";"8,96";"8,42";"9";"1"
"17.07.25";"8,44";"8,44";"8,44";"8,44";"";""
"16.07.25";"8,42";"8,42";"8,42";"8,42";"";""
"15.07.25";"8,44";"8,44";"8,44";"8,44";"";""
"14.07.25";"8,42";"8,42";"8,42";"8,42";"";""
"11.07.25";"8,52";"8,52";"8,52";"8,52";"";""
"10.07.25";"8,52";"8,52";"8,52";"8,52";"";""
"09.07.25";"8,56";"8,56";"8,56";"8,56";"";""
"08.07.25";"8,50";"8,50";"8,50";"8,50";"";""
"07.07.25";"8,46";"8,46";"8,46";"8,46";"";""
"04.07.25";"8,54";"8,54";"8,54";"8,54";"";""
"03.07.25";"8,42";"8,42";"8,42";"8,42";"";""
"02.07.25";"8,40";"8,40";"8,40";"8,40";"";""
"01.07.25";"8,24";"8,24";"8,24";"8,24";"";""
"30.06.25";"8,34";"8,34";"8,34";"8,34";"";""
"27.06.25";"8,30";"8,30";"8,30";"8,30";"";""
"26.06.25";"8,34";"8,34";"8,34";"8,34";"";""
"25.06.25";"8,20";"8,20";"8,20";"8,20";"";""
"24.06.25";"8,20";"8,20";"8,20";"8,20";"";""
"23.06.25";"8,22";"8,22";"8,22";"8,22";"";""
"20.06.25";"8,00";"8,00";"8,00";"8,00";"";""
"19.06.25";"8,00";"8,00";"8,00";"8,00";"";""
"18.06.25";"8,02";"8,02";"8,02";"8,02";"";""
"17.06.25";"7,94";"7,94";"7,94";"7,94";"";""
"16.06.25";"7,78";"7,78";"7,78";"7,78";"";""
"13.06.25";"7,74";"7,74";"7,74";"7,74";"";""
"12.06.25";"7,74";"7,74";"7,74";"7,74";"";""
"11.06.25";"7,78";"7,78";"7,78";"7,78";"";""
"10.06.25";"7,82";"8,36";"8,36";"7,82";"2.324";"278"
"09.06.25";"7,76";"7,76";"7,76";"7,76";"";""
"06.06.25";"7,68";"7,68";"7,68";"7,68";"";""
"05.06.25";"7,68";"7,68";"7,68";"7,68";"";""
"04.06.25";"7,92";"7,92";"7,92";"7,92";"";""
"03.06.25";"7,98";"7,98";"7,98";"7,98";"";""
"02.06.25";"8,10";"8,10";"8,10";"8,10";"";""
"30.05.25";"7,98";"7,98";"7,98";"7,98";"";""
"29.05.25";"8,22";"8,22";"8,22";"8,22";"";""
"28.05.25";"8,22";"8,22";"8,22";"8,22";"";""
"27.05.25";"7,78";"7,78";"7,78";"7,78";"";""
"26.05.25";"7,54";"7,54";"7,54";"7,54";"";""
"23.05.25";"7,80";"7,80";"7,80";"7,80";"";""
"22.05.25";"7,86";"7,86";"7,86";"7,86";"";""
"21.05.25";"7,86";"7,86";"7,86";"7,86";"";""
"20.05.25";"7,86";"7,86";"7,86";"7,86";"";""
"19.05.25";"7,76";"8,28";"8,28";"7,76";"1.656";"200"
"16.05.25";"7,78";"7,78";"7,78";"7,78";"";""
"15.05.25";"7,80";"7,80";"7,80";"7,80";"";""
"14.05.25";"7,76";"7,76";"7,76";"7,76";"";""
"13.05.25";"7,78";"7,78";"7,78";"7,78";"";""
"12.05.25";"7,66";"7,66";"7,66";"7,66";"";""
"09.05.25";"7,58";"7,58";"7,58";"7,58";"";""
"08.05.25";"7,62";"7,62";"7,62";"7,62";"";""
"07.05.25";"7,70";"7,70";"7,70";"7,70";"";""
"06.05.25";"7,76";"7,76";"7,76";"7,76";"";""
"05.05.25";"7,72";"7,70";"7,72";"7,70";"770";"100"
"02.05.25";"7,78";"7,78";"7,78";"7,78";"";""
"30.04.25";"7,80";"7,80";"7,80";"7,80";"";""
"29.04.25";"7,64";"7,64";"7,64";"7,64";"";""
"28.04.25";"7,56";"7,56";"7,56";"7,56";"";""
"25.04.25";"7,42";"7,42";"7,42";"7,42";"";""
"24.04.25";"7,36";"7,36";"7,36";"7,36";"";""
"23.04.25";"7,34";"7,34";"7,34";"7,34";"";""
"22.04.25";"7,44";"7,44";"7,44";"7,44";"";""
"17.04.25";"7,34";"7,34";"7,34";"7,34";"";""
"16.04.25";"7,26";"7,26";"7,26";"7,26";"";""
"15.04.25";"7,30";"7,30";"7,30";"7,30";"";""
"14.04.25";"7,38";"7,38";"7,38";"7,38";"";""
"11.04.25";"7,36";"7,36";"7,36";"7,36";"";""
"10.04.25";"7,08";"7,08";"7,08";"7,08";"";""
"09.04.25";"7,40";"7,40";"7,40";"7,40";"";""
"08.04.25";"7,42";"7,42";"7,42";"7,42";"";""
"07.04.25";"7,50";"7,50";"7,50";"7,50";"";""
"04.04.25";"7,76";"7,76";"7,76";"7,76";"";""
"03.04.25";"7,88";"7,88";"7,88";"7,88";"";""
"02.04.25";"7,88";"7,88";"7,88";"7,88";"";""
"01.04.25";"8,32";"8,32";"8,32";"8,32";"";""
"31.03.25";"8,22";"8,22";"8,22";"8,22";"";""
"28.03.25";"8,24";"8,24";"8,24";"8,24";"";""
"27.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"26.03.25";"8,28";"8,28";"8,28";"8,28";"";""
"25.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"24.03.25";"8,28";"8,78";"8,78";"8,28";"922";"105"
"21.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"20.03.25";"8,28";"8,28";"8,28";"8,28";"";""
"19.03.25";"8,28";"8,28";"8,28";"8,28";"";""
"18.03.25";"8,22";"8,22";"8,22";"8,22";"";""
"17.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"14.03.25";"8,30";"8,30";"8,30";"8,30";"";""
"13.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"12.03.25";"8,28";"8,28";"8,28";"8,28";"";""
"11.03.25";"8,30";"8,30";"8,30";"8,30";"";""
"10.03.25";"8,34";"8,34";"8,34";"8,34";"";""
"07.03.25";"8,42";"8,42";"8,42";"8,42";"";""
"06.03.25";"8,40";"8,40";"8,40";"8,40";"";""
"05.03.25";"8,26";"8,26";"8,26";"8,26";"";""
"04.03.25";"8,52";"8,52";"8,52";"8,52";"";""
"03.03.25";"8,58";"8,58";"8,58";"8,58";"";""
"28.02.25";"8,56";"8,56";"8,56";"8,56";"";""
"27.02.25";"8,62";"8,50";"8,62";"8,50";"170";"20"
"26.02.25";"8,54";"9,08";"9,08";"8,54";"436";"48"
"25.02.25";"8,50";"9,08";"9,10";"8,50";"954";"105"
"24.02.25";"8,42";"8,42";"8,42";"8,42";"";""
"21.02.25";"8,40";"8,40";"8,40";"8,40";"";""
"20.02.25";"8,40";"8,40";"8,40";"8,40";"";""
"19.02.25";"8,48";"8,48";"8,48";"8,48";"";""
"18.02.25";"8,52";"9,00";"9,00";"8,52";"792";"88"
"17.02.25";"8,40";"8,40";"8,40";"8,40";"";""
"14.02.25";"8,44";"8,44";"8,44";"8,44";"";""
"13.02.25";"8,52";"8,52";"8,52";"8,52";"";""
"12.02.25";"8,52";"8,52";"8,52";"8,52";"";""
"11.02.25";"8,52";"9,00";"9,00";"8,52";"36";"4"
"10.02.25";"8,42";"8,42";"8,42";"8,42";"";""
"07.02.25";"8,46";"8,46";"8,46";"8,46";"";""
"06.02.25";"8,50";"8,50";"8,50";"8,50";"";""
"05.02.25";"8,44";"8,44";"8,44";"8,44";"";""
"04.02.25";"8,36";"8,36";"8,36";"8,36";"";""
"03.02.25";"8,30";"8,30";"8,30";"8,30";"";""
