"Frankfurt";"US6092071058";"";"";"";"";""
"17.12.21";"58,02";"58,06";"58,06";"58,02";"5.399";"93"
"16.12.21";"57,21";"57,91";"58,00";"57,21";"13.531";"235"
"15.12.21";"56,16";"56,95";"56,95";"56,16";"1.709";"30"
"14.12.21";"55,94";"55,92";"55,94";"55,92";"5.033";"90"
"13.12.21";"55,39";"55,76";"55,76";"55,39";"1.394";"25"
"10.12.21";"53,93";"54,69";"54,69";"53,93";"2.944";"54"
"09.12.21";"53,50";"53,50";"53,50";"53,50";"";""
"08.12.21";"54,33";"54,26";"54,33";"54,26";"2.170";"40"
"07.12.21";"54,59";"54,66";"55,20";"54,59";"6.028";"110"
"06.12.21";"53,84";"53,81";"53,84";"53,81";"808";"15"
"03.12.21";"52,46";"53,11";"53,11";"52,46";"";""
"02.12.21";"51,96";"52,48";"52,48";"51,85";"945";"18"
"01.12.21";"52,60";"52,43";"52,60";"52,43";"947";"18"
"30.11.21";"52,98";"52,00";"52,98";"52,00";"7.607";"145"
"29.11.21";"53,96";"53,96";"53,96";"53,96";"5.936";"110"
"26.11.21";"53,27";"53,58";"54,20";"53,27";"6.142";"115"
"25.11.21";"54,78";"54,73";"54,78";"54,73";"6.295";"115"
"24.11.21";"54,40";"54,76";"54,76";"54,40";"";""
"23.11.21";"53,88";"54,30";"54,30";"53,88";"";""
"22.11.21";"53,73";"53,48";"53,73";"53,48";"";""
"19.11.21";"55,00";"54,00";"55,00";"54,00";"3.240";"60"
"18.11.21";"55,03";"54,77";"55,03";"54,45";"43.922";"802"
"17.11.21";"55,13";"55,18";"55,18";"54,86";"14.364";"261"
"16.11.21";"55,06";"55,50";"55,50";"55,06";"13.835";"250"
"15.11.21";"54,88";"55,26";"55,26";"54,76";"41.136";"750"
"12.11.21";"54,45";"55,00";"55,00";"54,45";"8.250";"150"
"11.11.21";"54,63";"54,41";"54,90";"54,41";"10.404";"190"
"10.11.21";"53,67";"54,64";"54,64";"53,59";"77.979";"1.451"
"09.11.21";"53,37";"53,37";"53,37";"53,37";"1.334";"25"
"08.11.21";"54,40";"53,80";"54,81";"53,80";"66.849";"1.227"
"05.11.21";"53,62";"54,34";"54,34";"53,62";"54";"1"
"04.11.21";"53,81";"54,04";"54,04";"53,55";"30.253";"560"
"03.11.21";"53,04";"54,33";"54,44";"52,53";"47.885";"889"
"02.11.21";"52,36";"52,36";"52,36";"52,33";"262";"5"
"01.11.21";"52,48";"52,69";"52,69";"52,48";"46.274";"880"
"29.10.21";"52,28";"52,52";"52,52";"52,28";"28.058";"535"
"28.10.21";"51,99";"51,99";"51,99";"51,99";"";""
"27.10.21";"52,61";"52,61";"52,61";"52,61";"526";"10"
"26.10.21";"51,98";"52,33";"52,33";"51,85";"10.086";"193"
"25.10.21";"52,04";"52,07";"52,35";"52,02";"13.308";"255"
"22.10.21";"51,57";"51,77";"51,86";"51,30";"14.973";"291"
"21.10.21";"51,75";"51,50";"52,00";"51,50";"12.953";"250"
"20.10.21";"51,26";"51,68";"51,68";"51,26";"18.326";"355"
"19.10.21";"51,23";"51,23";"51,23";"51,23";"";""
"18.10.21";"52,35";"52,13";"52,35";"52,13";"7.831";"150"
"15.10.21";"52,27";"52,34";"52,34";"52,27";"5.339";"102"
"14.10.21";"51,71";"51,78";"51,78";"51,71";"52";"1"
"13.10.21";"51,46";"51,93";"51,93";"51,42";"720";"14"
"12.10.21";"51,12";"51,52";"51,52";"51,12";"20.552";"400"
"11.10.21";"51,26";"51,54";"51,54";"51,26";"";""
"08.10.21";"51,82";"51,67";"51,82";"51,67";"";""
"07.10.21";"52,18";"52,04";"52,22";"52,04";"4.176";"80"
"06.10.21";"50,42";"50,60";"50,60";"50,42";"";""
"05.10.21";"49,965";"50,23";"50,23";"49,965";"";""
"04.10.21";"49,865";"50,32";"50,32";"49,865";"";""
"01.10.21";"50,22";"50,13";"50,22";"49,755";"10.751";"216"
"30.09.21";"51,08";"51,10";"51,23";"51,08";"4.098";"80"
"29.09.21";"50,20";"49,835";"50,20";"49,835";"";""
"28.09.21";"51,04";"50,01";"51,04";"50,01";"23.438";"467"
"27.09.21";"51,83";"51,83";"51,83";"51,83";"";""
"24.09.21";"51,57";"51,48";"51,57";"51,48";"2.523";"49"
"23.09.21";"51,97";"51,97";"51,97";"51,97";"1.039";"20"
"22.09.21";"51,66";"51,65";"51,66";"51,65";"7.749";"150"
"21.09.21";"51,87";"51,59";"51,87";"51,59";"";""
"20.09.21";"51,50";"51,48";"51,66";"51,48";"11.876";"230"
"17.09.21";"51,47";"51,23";"51,47";"51,23";"5.123";"100"
"16.09.21";"51,16";"51,48";"51,48";"51,16";"";""
"15.09.21";"51,07";"50,82";"51,07";"50,82";"153";"3"
"14.09.21";"51,28";"51,41";"51,41";"51,27";"6.221";"121"
"13.09.21";"51,20";"51,49";"51,49";"51,20";"";""
"10.09.21";"51,27";"51,28";"51,68";"51,27";"47.075";"912"
"09.09.21";"51,13";"51,40";"51,40";"51,13";"5.140";"100"
"08.09.21";"50,57";"51,23";"51,23";"50,57";"19.074";"375"
"07.09.21";"51,86";"51,33";"52,05";"51,33";"15.684";"305"
"06.09.21";"52,11";"52,05";"52,11";"52,05";"22.800";"438"
"03.09.21";"52,01";"51,88";"52,01";"51,88";"12.482";"240"
"02.09.21";"52,56";"52,67";"52,80";"52,56";"5.280";"100"
"01.09.21";"52,58";"52,53";"52,77";"52,53";"9.516";"181"
"31.08.21";"52,56";"52,38";"52,56";"52,38";"4.988";"95"
"30.08.21";"52,34";"52,55";"52,61";"52,34";"9.941";"189"
"27.08.21";"52,27";"52,30";"52,37";"52,27";"1.047";"20"
"26.08.21";"52,43";"52,26";"52,66";"52,26";"17.320";"330"
"25.08.21";"52,92";"52,57";"52,92";"52,57";"8.411";"160"
"24.08.21";"53,71";"53,00";"53,71";"53,00";"3.975";"75"
"23.08.21";"54,18";"53,80";"54,18";"53,80";"1.618";"30"
"20.08.21";"54,47";"54,47";"54,47";"54,47";"1.471";"27"
"19.08.21";"53,69";"53,69";"53,69";"53,69";"4.510";"84"
"18.08.21";"54,64";"54,64";"54,64";"54,64";"";""
"17.08.21";"53,77";"53,77";"53,77";"53,77";"";""
"16.08.21";"53,47";"54,17";"54,17";"53,47";"18.054";"335"
"13.08.21";"53,08";"53,52";"53,52";"53,08";"2.034";"38"
"12.08.21";"53,08";"53,11";"53,11";"53,08";"2.656";"50"
"11.08.21";"52,81";"52,81";"52,81";"52,81";"15.579";"295"
"10.08.21";"52,71";"52,97";"52,97";"52,71";"11.975";"227"
"09.08.21";"52,40";"52,79";"52,90";"52,40";"1.164";"22"
"06.08.21";"52,17";"52,66";"52,66";"52,17";"13.165";"250"
"05.08.21";"52,05";"52,30";"52,30";"52,05";"2.864";"55"
"04.08.21";"53,21";"53,13";"53,21";"53,13";"22.233";"418"
"03.08.21";"53,57";"53,35";"53,57";"53,35";"2.138";"40"
"02.08.21";"53,37";"53,44";"53,44";"53,37";"2.188";"41"
"30.07.21";"52,99";"53,60";"53,60";"52,99";"82.966";"1.560"
"29.07.21";"53,42";"53,61";"53,61";"53,42";"";""
"28.07.21";"54,30";"53,69";"54,30";"53,69";"13.379";"248"
"27.07.21";"54,73";"54,70";"54,96";"54,70";"13.740";"250"
"26.07.21";"54,80";"55,05";"55,05";"54,62";"8.036";"147"
"23.07.21";"54,44";"54,38";"54,44";"54,38";"25.315";"465"
"22.07.21";"54,16";"53,74";"54,31";"53,74";"33.634";"621"
"21.07.21";"54,85";"54,54";"54,94";"54,54";"50.239";"918"
"20.07.21";"54,38";"54,66";"54,66";"54,38";"817";"15"
"19.07.21";"54,16";"54,67";"54,67";"53,95";"25.341";"469"
"16.07.21";"54,19";"54,19";"54,19";"54,19";"";""
"15.07.21";"53,41";"53,63";"53,65";"53,41";"8.048";"150"
"14.07.21";"53,21";"53,54";"53,59";"53,21";"1.018";"19"
"13.07.21";"52,96";"52,96";"52,96";"52,96";"";""
"12.07.21";"53,21";"52,82";"53,21";"52,82";"2.121";"40"
"09.07.21";"53,14";"53,25";"53,54";"53,14";"25.122";"470"
"08.07.21";"52,92";"53,25";"53,25";"52,63";"5.476";"104"
"07.07.21";"52,44";"52,44";"52,44";"52,44";"";""
"06.07.21";"52,61";"52,52";"52,62";"52,52";"3.415";"65"
"05.07.21";"52,57";"52,74";"52,85";"52,57";"42.262";"801"
"02.07.21";"52,81";"52,81";"52,81";"52,81";"5.809";"110"
"01.07.21";"52,93";"52,54";"52,93";"52,52";"34.881";"664"
"30.06.21";"52,51";"52,42";"52,53";"52,42";"7.352";"140"
"29.06.21";"52,73";"52,53";"52,87";"52,53";"2.101";"40"
"28.06.21";"53,13";"52,95";"53,13";"52,82";"4.769";"90"
"25.06.21";"52,43";"52,30";"52,43";"52,30";"5.243";"100"
"24.06.21";"52,21";"52,06";"52,49";"52,06";"3.673";"70"
"23.06.21";"52,71";"52,71";"52,71";"52,71";"";""
"22.06.21";"52,50";"52,56";"52,89";"52,50";"793";"15"
"21.06.21";"52,13";"52,61";"52,61";"51,20";"5.376";"105"
"18.06.21";"53,09";"52,70";"53,46";"52,70";"35.181";"660"
"17.06.21";"52,11";"52,55";"52,55";"52,11";"4.386";"84"
"16.06.21";"52,31";"52,40";"52,42";"52,31";"14.043";"268"
"15.06.21";"52,45";"52,55";"52,55";"52,45";"1.575";"30"
"14.06.21";"52,61";"52,23";"52,61";"52,23";"";""
"11.06.21";"52,13";"52,39";"52,48";"52,13";"4.093";"78"
"10.06.21";"51,90";"52,18";"52,18";"51,90";"522";"10"
"09.06.21";"52,06";"51,70";"52,06";"51,70";"260";"5"
"08.06.21";"52,14";"52,30";"52,30";"52,06";"1.041";"20"
"07.06.21";"52,70";"52,52";"52,70";"52,52";"3.425";"65"
"04.06.21";"52,47";"52,63";"52,75";"52,45";"37.806";"720"
"03.06.21";"52,02";"52,02";"52,02";"52,02";"";""
"02.06.21";"51,77";"51,91";"52,14";"51,77";"780";"15"
"01.06.21";"52,18";"52,10";"52,26";"52,10";"2.348";"45"
"31.05.21";"52,28";"52,14";"52,30";"52,14";"7.771";"149"
"28.05.21";"52,04";"52,32";"52,32";"52,04";"";""
"27.05.21";"51,96";"52,19";"52,19";"51,96";"25.977";"499"
"26.05.21";"52,01";"52,31";"52,31";"52,01";"72.982";"1.397"
"25.05.21";"51,96";"51,87";"51,96";"51,87";"";""
"21.05.21";"51,48";"52,06";"52,06";"51,44";"1.543";"30"
"20.05.21";"50,97";"51,37";"51,37";"50,83";"11.266";"221"
"19.05.21";"50,69";"50,73";"50,98";"50,69";"12.182";"239"
"18.05.21";"51,21";"50,91";"51,21";"50,91";"2.342";"46"
"17.05.21";"51,22";"51,41";"51,43";"51,10";"16.895";"330"
"14.05.21";"51,63";"51,53";"51,63";"51,53";"2.064";"40"
"13.05.21";"50,68";"50,84";"50,84";"50,68";"";""
"12.05.21";"50,49";"51,12";"51,12";"50,49";"12.933";"253"
"11.05.21";"50,69";"51,08";"51,38";"50,69";"38.531";"754"
"10.05.21";"50,87";"51,17";"51,17";"50,85";"42.878";"843"
"07.05.21";"51,29";"50,96";"51,29";"50,96";"14.298";"280"
"06.05.21";"50,85";"50,85";"50,85";"50,85";"";""
"05.05.21";"50,54";"50,59";"50,66";"50,54";"35.450";"700"
"04.05.21";"50,94";"50,92";"51,16";"50,92";"4.332";"85"
"03.05.21";"50,78";"50,90";"50,90";"50,42";"51.202";"1.013"
"30.04.21";"50,06";"50,14";"50,14";"50,06";"6.007";"120"
"29.04.21";"49,475";"50,35";"50,35";"49,475";"";""
"28.04.21";"50,00";"50,75";"50,75";"49,50";"62.543";"1.260"
"27.04.21";"48,65";"48,615";"48,65";"48,48";"1.117";"23"
"26.04.21";"49,315";"48,735";"49,315";"48,735";"";""
"23.04.21";"49,365";"49,355";"49,365";"49,355";"";""
"22.04.21";"49,32";"49,57";"49,57";"49,32";"33.156";"670"
"21.04.21";"49,145";"49,545";"49,545";"49,145";"10.652";"215"
"20.04.21";"48,51";"48,555";"48,555";"48,51";"";""
"19.04.21";"48,82";"49,01";"49,01";"48,82";"9.784";"200"
"16.04.21";"49,135";"48,875";"49,135";"48,875";"9.827";"200"
"15.04.21";"48,865";"49,295";"49,295";"48,865";"20.133";"411"
"14.04.21";"48,92";"48,83";"48,92";"48,83";"";""
"13.04.21";"49,19";"48,93";"49,40";"48,93";"7.401";"150"
"12.04.21";"49,48";"49,445";"49,48";"49,30";"24.478";"496"
"09.04.21";"49,48";"49,65";"49,65";"49,48";"";""
"08.04.21";"49,765";"49,735";"49,765";"49,735";"498";"10"
"07.04.21";"49,71";"49,575";"49,925";"49,535";"15.577";"314"
"06.04.21";"50,11";"49,965";"50,11";"49,20";"102.914";"2.075"
"01.04.21";"49,95";"49,35";"50,08";"49,35";"55.106";"1.106"
"31.03.21";"50,21";"49,895";"50,23";"49,895";"5.721";"114"
"30.03.21";"51,25";"50,97";"51,27";"50,97";"28.109";"550"
"29.03.21";"50,60";"50,52";"50,62";"50,35";"8.592";"170"
"26.03.21";"49,665";"50,01";"50,01";"49,55";"22.039";"443"
"25.03.21";"49,36";"49,525";"49,525";"49,26";"12.579";"254"
"24.03.21";"49,70";"49,235";"49,70";"49,10";"15.011";"303"
"23.03.21";"49,285";"49,47";"49,47";"49,285";"14.545";"295"
"22.03.21";"48,535";"49,225";"49,225";"48,455";"33.616";"690"
"19.03.21";"48,52";"48,975";"49,01";"48,52";"18.385";"376"
"18.03.21";"48,57";"48,345";"48,57";"48,345";"15.143";"312"
"17.03.21";"48,49";"48,56";"48,675";"48,37";"103.455";"2.133"
"16.03.21";"47,66";"48,43";"48,43";"47,66";"17.415";"360"
"15.03.21";"47,975";"47,585";"48,00";"47,585";"21.324";"445"
"12.03.21";"47,285";"47,37";"47,52";"47,175";"53.131";"1.122"
"11.03.21";"47,205";"46,76";"47,725";"46,76";"14.016";"295"
"10.03.21";"46,925";"47,23";"47,23";"46,69";"17.339";"370"
"09.03.21";"46,76";"46,98";"47,01";"46,20";"251.278";"5.360"
"08.03.21";"46,975";"46,925";"46,975";"46,55";"57.884";"1.242"
"05.03.21";"45,12";"45,695";"45,695";"45,12";"50.285";"1.109"
"04.03.21";"44,00";"45,50";"45,50";"44,00";"10.124";"224"
"03.03.21";"44,68";"44,355";"45,02";"44,355";"2.334";"52"
"02.03.21";"44,505";"44,40";"44,505";"44,40";"444";"10"
"01.03.21";"44,505";"44,81";"44,96";"44,505";"35.438";"791"
"26.02.21";"44,405";"44,36";"44,715";"44,315";"5.330";"120"
"25.02.21";"44,525";"44,54";"44,735";"44,46";"90.582";"2.025"
"24.02.21";"45,005";"44,68";"45,05";"44,68";"28.877";"641"
"23.02.21";"44,615";"44,40";"44,615";"44,245";"32.608";"735"
"22.02.21";"44,665";"44,475";"44,78";"44,475";"6.926";"155"
"19.02.21";"46,18";"46,18";"46,18";"46,18";"";""
"18.02.21";"45,415";"46,01";"46,01";"45,415";"4.601";"100"
"17.02.21";"45,305";"45,675";"45,675";"45,305";"91";"2"
"16.02.21";"45,165";"45,165";"45,165";"45,165";"";""
"15.02.21";"45,55";"45,60";"45,60";"45,55";"8.751";"192"
"12.02.21";"45,795";"45,905";"45,905";"45,795";"1.375";"30"
"11.02.21";"45,48";"45,285";"45,48";"45,285";"5.351";"118"
"10.02.21";"45,745";"45,995";"45,995";"45,715";"5.011";"109"
"09.02.21";"46,095";"46,00";"46,295";"46,00";"60.691";"1.315"
"08.02.21";"46,67";"46,53";"46,71";"46,53";"981";"21"
"05.02.21";"46,70";"46,70";"46,70";"46,70";"";""
"04.02.21";"46,195";"46,21";"46,325";"46,195";"2.729";"59"
"03.02.21";"46,585";"46,305";"46,695";"46,305";"41.083";"881"
"02.02.21";"46,24";"46,74";"46,74";"46,035";"11.214";"241"
"01.02.21";"46,025";"45,66";"46,10";"45,66";"4.656";"101"
