"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"28.01.22";"59,32";"58,99";"59,34";"58,38";"20.368";"348"
"27.01.22";"59,02";"60,14";"61,33";"59,02";"10.759";"178"
"26.01.22";"59,55";"59,11";"59,55";"58,90";"7.959";"135"
"25.01.22";"59,36";"58,97";"60,02";"58,97";"20.570";"345"
"24.01.22";"60,37";"60,08";"60,65";"60,08";"40.814";"676"
"21.01.22";"59,61";"60,81";"60,81";"59,61";"5.838";"97"
"20.01.22";"59,53";"59,83";"59,83";"59,53";"17.949";"300"
"19.01.22";"59,15";"59,91";"59,91";"59,15";"7.829";"132"
"18.01.22";"59,30";"59,25";"60,00";"58,94";"25.469";"430"
"17.01.22";"59,78";"59,93";"59,93";"59,78";"7.664";"128"
"14.01.22";"58,90";"58,63";"58,90";"58,63";"15.298";"260"
"13.01.22";"58,89";"58,89";"58,89";"58,89";"2.356";"40"
"12.01.22";"59,12";"59,06";"59,35";"59,06";"39.067";"660"
"11.01.22";"59,05";"58,99";"59,32";"58,99";"23.387";"395"
"10.01.22";"59,51";"59,33";"59,83";"59,33";"29.812";"501"
"07.01.22";"59,52";"59,25";"59,52";"59,25";"4.088";"69"
"06.01.22";"59,49";"59,77";"59,77";"59,49";"17.931";"300"
"05.01.22";"58,71";"59,96";"59,96";"58,65";"47.982";"801"
"04.01.22";"58,35";"59,02";"59,46";"58,35";"27.121";"461"
"03.01.22";"58,98";"58,98";"58,98";"58,98";"1.710";"29"
"30.12.21";"58,18";"58,49";"58,49";"58,18";"5.307";"91"
"29.12.21";"58,32";"58,32";"58,75";"58,27";"73.045";"1.250"
"28.12.21";"57,76";"57,78";"57,78";"57,76";"1.445";"25"
"27.12.21";"57,20";"57,36";"57,36";"57,20";"8.761";"153"
"23.12.21";"57,16";"57,51";"57,51";"57,16";"11.118";"194"
"22.12.21";"56,86";"56,86";"56,86";"56,86";"";""
"21.12.21";"57,41";"57,37";"57,80";"57,07";"142.028";"2.480"
"20.12.21";"56,12";"56,12";"56,12";"56,12";"";""
