"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"01.02.24";"69,54";"70,12";"70,12";"69,42";"2.641";"38"
"31.01.24";"69,20";"69,78";"69,78";"69,20";"346";"5"
"30.01.24";"69,50";"70,38";"70,38";"69,50";"7.018";"100"
"29.01.24";"68,96";"69,78";"69,78";"68,96";"21.363";"307"
"26.01.24";"67,12";"69,14";"69,14";"67,12";"11.682";"170"
"25.01.24";"67,66";"68,40";"68,40";"67,66";"342";"5"
"24.01.24";"68,26";"67,84";"68,68";"67,84";"11.654";"170"
"23.01.24";"66,76";"68,40";"68,50";"66,76";"35.914";"527"
"22.01.24";"66,70";"66,70";"66,70";"66,70";"";""
"19.01.24";"66,84";"66,80";"67,36";"66,80";"4.042";"60"
"18.01.24";"67,08";"66,96";"67,40";"66,52";"24.485";"366"
"17.01.24";"66,20";"67,14";"67,14";"66,20";"88.584";"1.335"
"16.01.24";"66,40";"66,86";"67,34";"66,40";"5.716";"85"
"15.01.24";"66,20";"66,22";"66,28";"66,20";"1.988";"30"
"12.01.24";"66,08";"66,60";"66,74";"66,08";"12.681";"190"
"11.01.24";"66,44";"66,18";"66,44";"66,18";"";""
"10.01.24";"67,06";"66,46";"67,86";"66,46";"11.586";"171"
"09.01.24";"66,90";"67,32";"67,50";"66,90";"3.375";"50"
"08.01.24";"66,28";"67,04";"67,04";"66,26";"3.983";"60"
"05.01.24";"66,72";"66,70";"66,72";"66,70";"";""
"04.01.24";"66,60";"67,14";"67,28";"66,48";"21.801";"325"
"03.01.24";"66,98";"67,16";"67,94";"66,98";"30.563";"450"
"02.01.24";"65,40";"67,34";"67,34";"65,32";"66.509";"1.018"
"29.12.23";"65,52";"65,52";"65,52";"65,52";"19.656";"300"
"28.12.23";"64,12";"65,24";"65,24";"63,94";"5.343";"83"
"27.12.23";"64,64";"65,12";"65,12";"64,64";"30.072";"465"
"22.12.23";"63,62";"64,62";"64,62";"63,62";"1.282";"20"
"21.12.23";"63,24";"63,86";"63,86";"63,24";"18.972";"300"
"20.12.23";"64,32";"63,48";"64,34";"63,48";"965";"15"
"19.12.23";"64,68";"64,50";"64,68";"64,50";"12.927";"200"
"18.12.23";"65,18";"65,00";"65,18";"64,48";"25.244";"389"
"15.12.23";"64,28";"64,74";"64,74";"64,28";"2.260";"35"
"14.12.23";"67,08";"64,32";"67,18";"64,32";"7.758";"116"
"13.12.23";"67,56";"66,94";"67,58";"66,94";"136.652";"2.025"
"12.12.23";"66,26";"66,88";"67,26";"66,26";"673";"10"
"11.12.23";"65,64";"66,52";"66,52";"65,64";"14.975";"227"
"08.12.23";"66,28";"66,02";"66,28";"66,02";"9.975";"151"
"07.12.23";"65,70";"66,28";"66,68";"65,70";"4.302";"65"
"06.12.23";"65,22";"66,04";"66,04";"65,22";"4.943";"75"
"05.12.23";"65,36";"65,40";"65,40";"65,30";"7.836";"120"
"04.12.23";"64,64";"65,30";"65,34";"64,60";"8.951";"138"
"01.12.23";"64,86";"64,86";"64,86";"64,86";"";""
"30.11.23";"64,08";"64,32";"64,32";"64,08";"5.724";"89"
"29.11.23";"64,76";"63,98";"65,44";"63,98";"13.088";"200"
"28.11.23";"64,90";"65,06";"65,24";"64,90";"10.759";"165"
"27.11.23";"65,70";"65,26";"65,92";"65,20";"37.458";"572"
"24.11.23";"65,50";"65,32";"65,50";"65,26";"47.424";"725"
"23.11.23";"65,00";"65,04";"65,04";"65,00";"234.000";"3.600"
"22.11.23";"64,70";"65,64";"65,64";"64,70";"";""
"21.11.23";"64,20";"64,96";"64,96";"64,20";"9.744";"150"
"20.11.23";"64,98";"64,74";"64,98";"64,74";"5.718";"88"
"17.11.23";"64,88";"64,58";"65,40";"64,58";"3.260";"50"
"16.11.23";"64,26";"64,54";"64,94";"64,26";"95.135";"1.474"
"15.11.23";"64,06";"64,34";"64,94";"64,06";"2.273";"35"
"14.11.23";"64,46";"64,28";"64,46";"64,28";"";""
"13.11.23";"63,80";"64,70";"64,70";"63,80";"";""
"10.11.23";"64,40";"64,14";"64,40";"64,14";"1.604";"25"
"09.11.23";"64,18";"64,56";"64,98";"64,18";"9.667";"150"
"08.11.23";"63,78";"64,36";"64,36";"63,78";"193";"3"
"07.11.23";"63,44";"64,00";"64,00";"63,44";"";""
"06.11.23";"64,50";"63,70";"64,50";"63,70";"5.399";"84"
"03.11.23";"63,56";"64,04";"64,04";"63,56";"";""
"02.11.23";"62,80";"63,74";"63,74";"62,80";"29.373";"462"
"01.11.23";"62,38";"64,96";"64,96";"62,38";"";""
"31.10.23";"61,64";"62,52";"62,56";"61,64";"31.705";"510"
"30.10.23";"62,10";"62,06";"62,10";"61,32";"64.533";"1.052"
"27.10.23";"61,86";"62,54";"62,54";"61,86";"1.876";"30"
"26.10.23";"61,74";"61,30";"61,74";"61,30";"123";"2"
"25.10.23";"61,58";"62,10";"62,48";"61,58";"2.187";"35"
"24.10.23";"60,38";"61,84";"61,84";"60,38";"1.153";"19"
