"Frankfurt";"US6092071058";"";"";"";"";""
"09.12.25";"47,01";"46,775";"47,01";"46,735";"50.293";"1.074"
"08.12.25";"47,345";"47,16";"47,50";"47,16";"40.309";"851"
"05.12.25";"47,505";"47,445";"48,14";"46,975";"19.406";"410"
"04.12.25";"47,605";"48,43";"48,43";"47,605";"4.309";"90"
"03.12.25";"47,765";"47,68";"47,765";"47,68";"";""
"02.12.25";"48,455";"48,015";"49,015";"47,92";"20.800";"433"
"01.12.25";"50,07";"48,425";"50,07";"48,425";"3.306";"67"
"28.11.25";"48,805";"49,525";"49,525";"48,805";"";""
"27.11.25";"48,925";"48,905";"49,80";"48,905";"17.438";"351"
"26.11.25";"48,35";"49,155";"49,295";"48,35";"1.479";"30"
"25.11.25";"48,345";"48,67";"48,67";"48,345";"";""
"24.11.25";"49,015";"48,585";"49,015";"48,585";"12.580";"257"
"21.11.25";"47,855";"49,315";"49,315";"47,855";"";""
"20.11.25";"48,20";"48,325";"48,885";"48,20";"2.048";"42"
"19.11.25";"47,705";"48,45";"48,45";"47,705";"2.876";"60"
"18.11.25";"47,57";"48,045";"48,445";"47,385";"190.015";"4.001"
"17.11.25";"48,80";"47,91";"49,43";"47,91";"28.875";"595"
"14.11.25";"48,66";"48,84";"49,66";"48,66";"497";"10"
"13.11.25";"49,105";"48,985";"49,60";"48,985";"15.822";"320"
"12.11.25";"48,885";"49,085";"49,625";"48,885";"10.339";"209"
"11.11.25";"48,455";"49,28";"49,28";"48,455";"1.995";"41"
"10.11.25";"49,005";"48,545";"49,935";"48,545";"16.224";"330"
"07.11.25";"48,305";"49,34";"49,34";"48,305";"725";"15"
"06.11.25";"49,42";"48,655";"49,42";"48,655";"77.236";"1.563"
"05.11.25";"48,95";"48,685";"48,95";"48,40";"5.536";"114"
"04.11.25";"49,635";"48,725";"49,635";"48,725";"8.392";"171"
"03.11.25";"50,29";"49,255";"50,29";"49,255";"31.563";"638"
"31.10.25";"49,155";"49,72";"50,18";"49,155";"2.998";"60"
"30.10.25";"49,335";"49,83";"51,05";"49,335";"5.904";"117"
"29.10.25";"49,195";"49,785";"49,92";"48,90";"13.796";"279"
"28.10.25";"52,57";"49,615";"53,03";"49,615";"13.022";"250"
"27.10.25";"52,01";"52,85";"52,85";"51,73";"32.200";"621"
"24.10.25";"52,50";"52,05";"52,71";"52,05";"41.712";"795"
"23.10.25";"52,88";"52,51";"54,01";"52,51";"3.817";"71"
"22.10.25";"53,76";"53,30";"53,99";"53,00";"90.445";"1.677"
"21.10.25";"53,55";"53,24";"53,55";"53,24";"";""
"20.10.25";"53,07";"53,84";"54,09";"53,07";"2.536";"47"
"17.10.25";"52,30";"53,55";"53,55";"52,30";"136.521";"2.575"
"16.10.25";"52,53";"52,50";"53,82";"52,50";"61.166";"1.160"
"15.10.25";"53,93";"52,73";"53,93";"52,73";"9.326";"176"
"14.10.25";"53,49";"53,24";"53,49";"52,64";"18.511";"350"
"13.10.25";"52,70";"52,74";"52,74";"52,70";"12.543";"238"
"10.10.25";"52,47";"53,08";"53,42";"52,47";"30.844";"579"
"09.10.25";"52,51";"52,74";"53,38";"52,51";"2.455";"46"
"08.10.25";"53,44";"52,82";"54,32";"52,82";"15.373";"285"
"07.10.25";"52,46";"53,63";"53,63";"52,46";"";""
"06.10.25";"53,94";"52,73";"53,94";"52,73";"36.985";"697"
"03.10.25";"52,32";"53,74";"53,74";"52,32";"";""
"02.10.25";"53,37";"52,64";"53,37";"52,64";"";""
"01.10.25";"52,81";"53,74";"53,74";"52,81";"319";"6"
"30.09.25";"52,48";"53,23";"53,23";"52,31";"55.044";"1.052"
"29.09.25";"53,99";"53,14";"53,99";"53,14";"6.521";"122"
"26.09.25";"53,31";"54,06";"54,06";"53,31";"";""
"25.09.25";"54,61";"53,78";"55,64";"53,78";"8.555";"157"
"24.09.25";"53,71";"54,47";"54,74";"53,71";"15.813";"290"
"23.09.25";"53,30";"53,85";"53,95";"53,30";"6.461";"120"
"22.09.25";"53,93";"53,82";"54,70";"53,82";"8.205";"150"
"19.09.25";"53,25";"54,14";"54,14";"53,25";"1.620";"30"
"18.09.25";"52,60";"53,47";"53,60";"52,60";"2.680";"50"
"17.09.25";"52,44";"53,19";"53,19";"52,44";"14.230";"271"
"16.09.25";"52,05";"52,84";"52,84";"52,05";"";""
"15.09.25";"52,51";"52,33";"52,51";"52,33";"";""
"12.09.25";"52,46";"52,79";"53,37";"52,46";"11.740";"220"
"11.09.25";"52,81";"53,33";"53,33";"52,81";"";""
"10.09.25";"52,98";"52,98";"52,98";"52,98";"";""
"09.09.25";"52,14";"53,48";"53,48";"52,14";"2.132";"40"
"08.09.25";"53,14";"52,30";"53,14";"52,30";"7.119";"134"
"05.09.25";"52,63";"51,81";"52,63";"51,81";"2.132";"41"
"04.09.25";"52,20";"52,20";"52,83";"52,20";"2.642";"50"
"03.09.25";"52,66";"52,29";"52,70";"51,86";"46.972";"897"
"02.09.25";"52,08";"52,79";"52,79";"52,08";"";""
"01.09.25";"52,93";"52,21";"52,93";"52,21";"476";"9"
"29.08.25";"52,30";"52,44";"53,06";"52,30";"28.727";"547"
"28.08.25";"52,66";"52,32";"52,73";"52,32";"15.656";"297"
"27.08.25";"53,00";"52,92";"54,04";"52,92";"12.240";"230"
"26.08.25";"53,03";"53,02";"53,03";"53,02";"";""
"25.08.25";"54,00";"53,34";"54,65";"53,21";"10.831";"202"
"22.08.25";"53,87";"53,98";"54,76";"53,87";"3.012";"55"
"21.08.25";"53,81";"54,07";"54,68";"53,65";"2.966";"55"
"20.08.25";"53,45";"54,10";"54,85";"53,45";"1.839";"34"
"19.08.25";"52,54";"53,62";"53,62";"52,54";"532";"10"
"18.08.25";"52,81";"52,78";"53,66";"52,78";"2.683";"50"
"15.08.25";"52,33";"52,99";"52,99";"52,33";"";""
"14.08.25";"52,62";"52,82";"53,71";"52,62";"102.546";"1.916"
"13.08.25";"52,38";"53,01";"53,01";"52,10";"48.304";"925"
"12.08.25";"52,73";"52,43";"53,35";"52,43";"2.876";"54"
"11.08.25";"53,44";"53,34";"53,44";"52,00";"10.476";"200"
"08.08.25";"54,06";"52,96";"54,06";"52,96";"3.180";"59"
"07.08.25";"52,93";"53,37";"53,77";"52,93";"1.183";"22"
"06.08.25";"53,55";"53,24";"53,55";"53,24";"1.445";"27"
"05.08.25";"55,55";"53,74";"55,55";"53,74";"9.313";"168"
"04.08.25";"55,77";"54,87";"55,77";"54,87";"8.749";"157"
"01.08.25";"56,12";"56,38";"56,38";"56,12";"2.479";"44"
"31.07.25";"56,07";"56,73";"57,07";"56,07";"14.606";"259"
"30.07.25";"58,01";"57,20";"58,80";"57,01";"9.340";"160"
"29.07.25";"59,75";"59,91";"60,23";"59,75";"47.044";"783"
"28.07.25";"59,62";"59,89";"60,91";"59,62";"487";"8"
"25.07.25";"59,28";"59,97";"59,97";"59,24";"2.370";"40"
"24.07.25";"60,10";"59,59";"60,10";"59,59";"1.499";"25"
"23.07.25";"59,81";"59,28";"59,94";"59,28";"";""
"22.07.25";"59,22";"59,97";"59,97";"59,22";"118";"2"
"21.07.25";"60,34";"59,22";"60,34";"59,22";"121";"2"
"18.07.25";"59,58";"59,57";"59,58";"59,35";"37.791";"636"
"17.07.25";"57,60";"60,01";"60,01";"57,60";"11.434";"194"
"16.07.25";"56,96";"57,92";"57,92";"56,96";"11.347";"198"
"15.07.25";"57,40";"57,46";"58,19";"57,40";"639";"11"
"14.07.25";"57,07";"57,79";"58,28";"57,07";"15.072";"264"
"11.07.25";"57,04";"57,49";"57,90";"56,96";"1.433";"25"
"10.07.25";"56,49";"57,34";"57,39";"56,49";"25.592";"446"
"09.07.25";"57,81";"57,16";"57,81";"56,73";"113.513";"1.992"
"08.07.25";"58,14";"58,24";"58,80";"58,10";"19.519";"333"
"07.07.25";"59,00";"58,47";"59,33";"58,47";"13.630";"231"
"04.07.25";"58,25";"58,16";"58,88";"58,16";"589";"10"
"03.07.25";"58,48";"58,60";"59,46";"58,48";"10.108";"170"
"02.07.25";"58,07";"58,67";"58,67";"58,07";"174";"3"
"01.07.25";"56,73";"58,46";"58,46";"56,73";"227";"4"
"30.06.25";"56,87";"56,98";"57,87";"56,87";"15.447";"270"
"27.06.25";"57,48";"57,67";"57,67";"57,48";"";""
"26.06.25";"57,21";"57,77";"58,05";"57,17";"572";"10"
"25.06.25";"58,81";"57,56";"58,81";"57,56";"4.720";"82"
"24.06.25";"59,49";"58,91";"59,49";"58,91";"5.949";"100"
"23.06.25";"58,46";"58,86";"59,67";"58,46";"6.659";"113"
"20.06.25";"56,81";"59,28";"59,50";"56,81";"9.138";"158"
"19.06.25";"57,20";"57,11";"57,20";"57,06";"571";"10"
"18.06.25";"57,19";"57,31";"57,99";"57,19";"9.753";"169"
"17.06.25";"57,65";"57,82";"57,82";"57,52";"17.976";"311"
"16.06.25";"57,42";"57,90";"58,26";"57,42";"41.008";"705"
"13.06.25";"58,57";"57,93";"58,57";"57,93";"";""
"12.06.25";"57,81";"58,63";"58,63";"57,61";"5.070";"88"
"11.06.25";"58,39";"58,19";"58,39";"58,19";"758";"13"
"10.06.25";"58,02";"58,60";"59,01";"58,02";"19.171";"326"
"09.06.25";"58,46";"58,17";"58,46";"57,71";"2.093";"36"
"06.06.25";"57,76";"57,92";"58,18";"57,76";"1.857";"32"
"05.06.25";"58,10";"58,05";"58,91";"58,05";"14.728";"250"
"04.06.25";"58,52";"58,36";"59,33";"58,36";"6.566";"112"
"03.06.25";"58,63";"58,84";"58,92";"58,63";"471";"8"
"02.06.25";"58,82";"58,79";"58,82";"58,52";"47.313";"805"
"30.05.25";"58,93";"59,72";"59,72";"58,93";"6.508";"110"
"29.05.25";"58,10";"59,23";"59,23";"58,10";"";""
"28.05.25";"58,63";"58,92";"58,92";"58,13";"1.104";"19"
"27.05.25";"57,63";"58,92";"58,92";"57,63";"";""
"26.05.25";"57,20";"57,70";"57,70";"57,20";"14.362";"251"
"23.05.25";"57,34";"58,30";"58,30";"57,31";"6.202";"107"
"22.05.25";"57,08";"58,13";"58,17";"57,08";"26.062";"450"
"21.05.25";"57,68";"57,52";"57,68";"57,52";"";""
"20.05.25";"57,93";"58,28";"58,67";"57,93";"2.453";"42"
"19.05.25";"57,89";"58,24";"58,24";"57,56";"17.990";"309"
"16.05.25";"57,58";"58,38";"58,49";"57,58";"6.780";"116"
"15.05.25";"56,40";"58,06";"58,06";"56,40";"453";"8"
"14.05.25";"57,04";"57,03";"57,04";"56,41";"6.684";"118"
"13.05.25";"58,74";"57,51";"59,10";"57,51";"1.418";"24"
"12.05.25";"59,73";"59,07";"60,39";"58,66";"20.576";"343"
"09.05.25";"60,19";"58,99";"60,46";"58,99";"6.392";"106"
"08.05.25";"58,85";"59,91";"59,91";"58,85";"20.391";"345"
"07.05.25";"59,29";"59,28";"59,56";"59,28";"12.274";"207"
"06.05.25";"59,35";"59,18";"59,41";"59,18";"178";"3"
"05.05.25";"59,31";"59,84";"60,08";"59,02";"32.453";"547"
"02.05.25";"59,42";"59,91";"60,30";"59,42";"7.538";"125"
"30.04.25";"58,11";"60,24";"60,24";"58,11";"1.291";"22"
"29.04.25";"56,81";"57,27";"57,43";"56,81";"574";"10"
"28.04.25";"57,32";"56,97";"58,04";"56,97";"12.183";"212"
"25.04.25";"57,49";"57,37";"57,96";"57,08";"1.901";"33"
"24.04.25";"59,00";"57,55";"59,22";"57,55";"18.720";"317"
"23.04.25";"60,20";"59,35";"60,20";"59,35";"37.076";"620"
"22.04.25";"59,14";"59,62";"59,62";"58,57";"2.834";"48"
"17.04.25";"58,57";"59,26";"59,36";"58,03";"3.419";"58"
"16.04.25";"58,37";"57,95";"59,67";"57,95";"11.282";"190"
"15.04.25";"59,74";"59,43";"59,88";"59,43";"4.491";"75"
"14.04.25";"58,80";"60,20";"60,20";"58,80";"774";"13"
"11.04.25";"58,80";"59,28";"59,28";"58,20";"14.427";"247"
"10.04.25";"60,18";"58,45";"60,18";"58,31";"4.497";"76"
"09.04.25";"57,10";"60,23";"60,58";"57,10";"41.046";"700"
"08.04.25";"59,30";"58,08";"60,21";"58,08";"6.443";"109"
"07.04.25";"58,00";"59,78";"59,80";"56,31";"29.711";"515"
"04.04.25";"60,41";"60,65";"60,65";"60,19";"3.313";"55"
"03.04.25";"60,70";"61,05";"61,36";"58,77";"38.984";"644"
"02.04.25";"62,97";"60,74";"62,97";"60,58";"15.154";"243"
"01.04.25";"62,44";"62,49";"62,49";"62,44";"";""
"31.03.25";"61,00";"62,69";"63,69";"61,00";"7.424";"117"
"28.03.25";"62,20";"62,68";"63,17";"62,14";"38.869";"624"
"27.03.25";"61,11";"62,42";"62,42";"61,01";"1.405";"23"
"26.03.25";"59,62";"61,59";"61,59";"59,20";"291.066";"4.910"
"25.03.25";"59,65";"59,87";"59,87";"59,61";"11.992";"201"
"24.03.25";"59,57";"59,73";"60,37";"59,57";"1.559";"26"
"21.03.25";"58,75";"59,56";"59,69";"58,69";"9.514";"161"
"20.03.25";"58,62";"58,82";"58,86";"58,62";"34.627";"590"
"19.03.25";"58,95";"58,61";"58,95";"58,34";"11.687";"200"
"18.03.25";"59,02";"58,97";"59,66";"58,97";"36.059";"608"
"17.03.25";"58,31";"59,67";"59,67";"58,31";"26.829";"457"
"14.03.25";"59,40";"58,71";"60,12";"58,71";"22.357";"375"
"13.03.25";"59,26";"59,50";"60,22";"59,26";"65.871";"1.105"
"12.03.25";"61,94";"59,57";"61,94";"59,57";"24.958";"413"
"11.03.25";"62,40";"62,01";"62,94";"62,01";"40.672";"653"
"10.03.25";"62,28";"62,95";"64,11";"62,28";"6.169";"98"
"07.03.25";"61,35";"62,28";"63,62";"61,35";"3.205";"52"
"06.03.25";"60,90";"62,09";"62,09";"60,90";"489";"8"
"05.03.25";"61,30";"61,38";"61,41";"60,96";"15.943";"261"
"04.03.25";"62,43";"62,38";"63,48";"61,81";"48.393";"776"
"03.03.25";"61,40";"63,00";"63,00";"60,81";"24.636";"400"
"28.02.25";"61,28";"61,87";"62,19";"61,28";"3.710";"60"
"27.02.25";"60,41";"61,40";"61,40";"59,81";"6.768";"113"
"26.02.25";"63,00";"60,42";"63,00";"60,42";"630";"10"
"25.02.25";"62,10";"62,51";"63,18";"62,10";"17.446";"278"
"24.02.25";"62,00";"62,46";"62,69";"61,18";"45.008";"732"
"21.02.25";"58,91";"61,57";"61,60";"58,91";"75.124";"1.223"
"20.02.25";"58,84";"58,90";"59,73";"58,84";"5.581";"94"
"19.02.25";"58,23";"59,23";"59,23";"58,11";"125.291";"2.150"
"18.02.25";"58,19";"58,86";"58,86";"58,14";"47.714";"819"
"17.02.25";"58,36";"57,32";"58,36";"57,32";"26.519";"455"
"14.02.25";"58,34";"57,81";"58,79";"57,81";"13.560";"232"
"13.02.25";"57,70";"58,32";"58,49";"57,70";"50.154";"867"
"12.02.25";"58,50";"57,88";"58,50";"57,67";"74.116";"1.279"
"11.02.25";"56,41";"58,03";"58,03";"56,31";"9.983";"174"
"10.02.25";"56,95";"56,00";"57,18";"56,00";"33.152";"584"
"07.02.25";"55,43";"56,47";"56,87";"55,19";"46.007";"830"
"06.02.25";"54,97";"56,04";"56,33";"54,97";"41.701";"747"
"05.02.25";"51,71";"54,76";"54,76";"51,28";"58.736";"1.129"
"04.02.25";"55,85";"54,00";"55,85";"53,74";"45.430";"834"
"03.02.25";"55,90";"55,80";"55,91";"55,80";"26.555";"475"
