"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"30.01.26";"47,645";"49,16";"49,16";"47,645";"4.398";"90"
"29.01.26";"47,555";"47,83";"48,63";"47,555";"106.395";"2.190"
"28.01.26";"49,00";"48,035";"49,435";"48,035";"237.888";"4.853"
"27.01.26";"48,83";"48,82";"49,565";"48,82";"6.869";"139"
"26.01.26";"48,50";"49,195";"49,395";"48,40";"12.003";"245"
"23.01.26";"48,805";"49,175";"49,565";"48,805";"9.837";"200"
"22.01.26";"48,805";"48,825";"49,32";"48,605";"17.292";"352"
"21.01.26";"49,025";"48,99";"49,06";"48,85";"29.415";"600"
"20.01.26";"48,305";"49,375";"49,635";"48,285";"18.361";"372"
"19.01.26";"49,755";"48,43";"49,755";"48,43";"1.990";"40"
"16.01.26";"48,915";"49,38";"49,38";"48,915";"1.663";"34"
"15.01.26";"48,72";"49,335";"49,61";"48,72";"18.373";"375"
"14.01.26";"47,585";"48,925";"48,925";"47,405";"46.363";"964"
"13.01.26";"47,535";"47,86";"47,93";"47,535";"56.335";"1.185"
"12.01.26";"47,085";"47,00";"47,31";"46,545";"234.338";"5.022"
"09.01.26";"46,005";"47,195";"47,195";"45,755";"75.705";"1.653"
"08.01.26";"44,105";"46,235";"46,235";"44,01";"40.120";"907"
"07.01.26";"44,905";"44,005";"45,57";"44,005";"31.803";"700"
"06.01.26";"45,355";"45,08";"46,145";"45,08";"6.993";"154"
"05.01.26";"45,49";"45,62";"46,395";"45,115";"30.778";"675"
"02.01.26";"46,695";"46,035";"46,695";"46,035";"3.035";"65"
"30.12.25";"46,295";"46,265";"46,30";"46,265";"5.834";"126"
"29.12.25";"46,91";"46,615";"46,95";"46,345";"48.333";"1.032"
"23.12.25";"45,845";"45,745";"46,675";"45,745";"42.474";"913"
"22.12.25";"46,845";"45,945";"46,845";"45,945";"54.905";"1.177"
"19.12.25";"46,325";"46,67";"47,12";"46,325";"22.882";"488"
"18.12.25";"46,27";"46,635";"46,635";"45,345";"59.411";"1.287"
"17.12.25";"45,655";"45,715";"45,72";"45,655";"1.417";"31"
"16.12.25";"45,805";"45,845";"46,30";"45,805";"32.886";"715"
"15.12.25";"45,61";"46,28";"46,38";"45,61";"9.677";"211"
"12.12.25";"45,595";"46,015";"46,34";"45,595";"10.948";"238"
"11.12.25";"45,805";"45,67";"46,64";"45,52";"27.436";"597"
"10.12.25";"46,31";"45,82";"46,32";"45,78";"47.373";"1.031"
