"Frankfurt";"PLFERRO00016";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"31.01.23";"5,28";"5,10";"5,28";"5,10";"10";"2"
"30.01.23";"5,24";"5,24";"5,24";"5,24";"";""
"27.01.23";"4,97";"4,97";"4,97";"4,97";"";""
"26.01.23";"4,97";"4,97";"4,97";"4,97";"";""
"25.01.23";"5,02";"5,02";"5,02";"5,02";"";""
"24.01.23";"4,93";"4,93";"4,93";"4,93";"";""
"23.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"20.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"19.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"18.01.23";"4,80";"5,06";"5,06";"4,80";"2.392";"498"
"17.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"16.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"13.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"12.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"11.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"10.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"09.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"06.01.23";"4,80";"4,80";"4,80";"4,80";"";""
"05.01.23";"4,77";"4,77";"4,77";"4,77";"";""
"04.01.23";"4,55";"4,55";"4,55";"4,55";"";""
"03.01.23";"4,41";"4,51";"4,51";"4,41";"1.804";"400"
"02.01.23";"4,34";"4,34";"4,34";"4,34";"";""
"30.12.22";"4,41";"4,41";"4,41";"4,41";"";""
"29.12.22";"4,50";"4,50";"4,50";"4,50";"";""
"28.12.22";"4,53";"4,53";"4,53";"4,53";"";""
"27.12.22";"4,55";"4,55";"4,55";"4,55";"";""
"23.12.22";"4,55";"4,55";"4,55";"4,55";"";""
"22.12.22";"4,53";"4,53";"4,53";"4,53";"";""
"21.12.22";"4,57";"4,57";"4,57";"4,57";"";""
"20.12.22";"4,55";"4,55";"4,55";"4,55";"";""
"19.12.22";"4,59";"4,59";"4,59";"4,59";"";""
"16.12.22";"4,61";"4,61";"4,61";"4,61";"";""
"15.12.22";"4,66";"4,66";"4,66";"4,66";"";""
"14.12.22";"4,64";"4,64";"4,64";"4,64";"";""
"13.12.22";"4,66";"4,66";"4,66";"4,66";"";""
"12.12.22";"4,66";"4,66";"4,66";"4,66";"";""
"09.12.22";"4,68";"4,68";"4,68";"4,68";"";""
"08.12.22";"4,64";"4,64";"4,64";"4,64";"";""
"07.12.22";"5,12";"5,12";"5,12";"5,12";"51";"10"
"06.12.22";"4,62";"4,62";"4,62";"4,62";"";""
"05.12.22";"4,64";"4,64";"4,64";"4,64";"";""
"02.12.22";"4,63";"4,63";"4,63";"4,63";"";""
"01.12.22";"4,61";"4,61";"4,61";"4,61";"";""
"30.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"29.11.22";"4,75";"4,75";"4,75";"4,75";"";""
"28.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"25.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"24.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"23.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"22.11.22";"4,75";"4,75";"4,75";"4,75";"";""
"21.11.22";"4,88";"4,88";"4,88";"4,88";"";""
"18.11.22";"4,97";"4,97";"4,97";"4,97";"";""
"17.11.22";"4,99";"4,99";"4,99";"4,99";"";""
"16.11.22";"5,06";"5,06";"5,06";"5,06";"";""
"15.11.22";"4,97";"4,97";"4,97";"4,97";"";""
"14.11.22";"4,99";"4,99";"4,99";"4,99";"";""
"11.11.22";"4,97";"4,97";"4,97";"4,97";"";""
"10.11.22";"4,95";"4,95";"4,95";"4,95";"";""
"09.11.22";"4,92";"4,92";"4,92";"4,92";"";""
"08.11.22";"4,86";"4,86";"4,86";"4,86";"";""
"07.11.22";"4,84";"4,84";"4,84";"4,84";"";""
"04.11.22";"4,84";"4,84";"4,84";"4,84";"";""
"03.11.22";"4,82";"4,82";"4,82";"4,82";"";""
"02.11.22";"4,73";"4,73";"4,73";"4,73";"";""
"01.11.22";"4,71";"4,71";"4,71";"4,71";"";""
"31.10.22";"4,62";"4,62";"4,62";"4,62";"";""
"28.10.22";"4,62";"4,62";"4,62";"4,62";"";""
"27.10.22";"4,60";"4,60";"4,60";"4,60";"";""
"26.10.22";"4,59";"4,59";"4,59";"4,59";"";""
"25.10.22";"4,64";"4,64";"4,64";"4,64";"";""
"24.10.22";"4,53";"4,53";"4,53";"4,53";"";""
"21.10.22";"4,59";"4,59";"4,59";"4,59";"";""
