"Frankfurt";"PLFERRO00016";"";"";"";"";""
"20.10.22";"4,53";"4,53";"4,53";"4,53";"";""
"19.10.22";"4,66";"4,66";"4,66";"4,66";"";""
"18.10.22";"4,59";"4,59";"4,59";"4,59";"";""
"17.10.22";"4,62";"4,62";"4,62";"4,62";"";""
"14.10.22";"4,75";"4,75";"4,75";"4,75";"";""
"13.10.22";"4,68";"4,68";"4,68";"4,68";"";""
"12.10.22";"4,66";"4,66";"4,66";"4,66";"";""
"11.10.22";"4,64";"4,64";"4,64";"4,64";"";""
"10.10.22";"4,59";"4,59";"4,59";"4,59";"";""
"07.10.22";"4,55";"4,55";"4,55";"4,55";"";""
"06.10.22";"4,57";"4,57";"4,57";"4,57";"";""
"05.10.22";"4,61";"4,61";"4,61";"4,61";"";""
"04.10.22";"4,48";"4,48";"4,48";"4,48";"";""
"03.10.22";"4,55";"4,55";"4,55";"4,55";"";""
"30.09.22";"4,43";"4,43";"4,43";"4,43";"";""
"29.09.22";"4,49";"4,49";"4,49";"4,49";"";""
"28.09.22";"4,70";"4,70";"4,70";"4,70";"";""
"27.09.22";"4,66";"4,66";"4,66";"4,66";"";""
"26.09.22";"4,73";"4,73";"4,73";"4,73";"";""
"23.09.22";"4,99";"4,99";"4,99";"4,99";"";""
"22.09.22";"4,84";"5,34";"5,34";"4,84";"107";"20"
"21.09.22";"4,97";"4,97";"4,97";"4,97";"";""
"20.09.22";"5,04";"5,64";"5,64";"5,04";"113";"20"
"19.09.22";"5,28";"5,28";"5,28";"5,28";"";""
"16.09.22";"5,30";"5,30";"5,30";"5,30";"";""
"15.09.22";"5,28";"5,28";"5,28";"5,28";"";""
"14.09.22";"5,22";"5,22";"5,22";"5,22";"";""
"13.09.22";"5,24";"5,28";"5,28";"5,24";"502";"95"
"12.09.22";"5,22";"5,22";"5,22";"5,22";"";""
"09.09.22";"5,22";"5,22";"5,22";"5,22";"";""
"08.09.22";"5,18";"5,18";"5,18";"5,18";"";""
"07.09.22";"5,12";"5,12";"5,12";"5,12";"";""
"06.09.22";"5,14";"5,14";"5,14";"5,14";"";""
"05.09.22";"5,12";"5,12";"5,12";"5,12";"";""
"02.09.22";"5,08";"5,08";"5,08";"5,08";"";""
"01.09.22";"5,10";"5,10";"5,10";"5,10";"";""
"31.08.22";"5,16";"5,16";"5,16";"5,16";"";""
"30.08.22";"5,16";"5,16";"5,16";"5,16";"";""
"29.08.22";"5,10";"5,10";"5,10";"5,10";"";""
"26.08.22";"5,06";"5,06";"5,06";"5,06";"";""
"25.08.22";"4,95";"4,95";"4,95";"4,95";"";""
"24.08.22";"4,88";"4,88";"4,88";"4,88";"";""
"23.08.22";"5,20";"5,20";"5,20";"5,20";"";""
"22.08.22";"5,28";"5,28";"5,28";"5,28";"";""
"19.08.22";"5,30";"5,30";"5,30";"5,30";"";""
"18.08.22";"5,36";"5,36";"5,36";"5,36";"";""
"17.08.22";"5,42";"5,42";"5,42";"5,42";"";""
"16.08.22";"5,40";"5,40";"5,40";"5,40";"";""
"15.08.22";"5,44";"5,44";"5,44";"5,44";"";""
"12.08.22";"5,26";"5,26";"5,26";"5,26";"";""
"11.08.22";"5,06";"5,06";"5,06";"5,06";"";""
"10.08.22";"5,06";"5,06";"5,06";"5,06";"";""
"09.08.22";"5,16";"5,16";"5,16";"5,16";"";""
"08.08.22";"5,22";"5,22";"5,22";"5,22";"";""
"05.08.22";"5,12";"5,12";"5,12";"5,12";"";""
"04.08.22";"4,99";"4,99";"4,99";"4,99";"";""
"03.08.22";"4,88";"4,88";"4,88";"4,88";"";""
"02.08.22";"5,02";"5,02";"5,02";"5,02";"";""
"01.08.22";"4,90";"4,90";"4,90";"4,90";"";""
"29.07.22";"4,73";"4,73";"4,73";"4,73";"";""
"28.07.22";"4,55";"5,10";"5,10";"4,55";"15";"3"
"27.07.22";"4,68";"4,68";"4,68";"4,68";"";""
"26.07.22";"4,77";"5,04";"5,04";"4,77";"101";"20"
"25.07.22";"4,86";"4,86";"4,86";"4,86";"";""
"22.07.22";"4,99";"4,99";"4,99";"4,99";"";""
"21.07.22";"5,12";"5,12";"5,12";"5,12";"";""
"20.07.22";"5,14";"5,14";"5,14";"5,14";"";""
"19.07.22";"5,10";"5,10";"5,10";"5,10";"";""
"18.07.22";"5,14";"5,14";"5,14";"5,14";"";""
"15.07.22";"5,08";"5,08";"5,08";"5,08";"";""
"14.07.22";"5,08";"5,08";"5,08";"5,08";"";""
"13.07.22";"5,16";"5,16";"5,16";"5,16";"";""
"12.07.22";"5,28";"5,60";"5,60";"5,28";"420";"75"
"11.07.22";"5,38";"5,38";"5,38";"5,38";"";""
"08.07.22";"5,30";"5,30";"5,30";"5,30";"";""
"07.07.22";"5,42";"5,42";"5,42";"5,42";"";""
"06.07.22";"5,50";"5,50";"5,50";"5,50";"";""
"05.07.22";"5,64";"5,64";"5,64";"5,64";"";""
"04.07.22";"5,78";"5,78";"5,78";"5,78";"";""
"01.07.22";"5,82";"5,82";"5,82";"5,82";"";""
"30.06.22";"5,92";"5,92";"5,92";"5,92";"";""
"29.06.22";"5,46";"5,46";"5,46";"5,46";"";""
"28.06.22";"5,40";"5,40";"5,40";"5,40";"";""
"27.06.22";"5,36";"5,36";"5,36";"5,36";"";""
"24.06.22";"5,28";"5,28";"5,28";"5,28";"";""
"23.06.22";"5,22";"5,22";"5,22";"5,22";"";""
"22.06.22";"5,48";"5,48";"5,48";"5,48";"";""
"21.06.22";"5,62";"5,62";"5,62";"5,62";"";""
"20.06.22";"5,52";"5,52";"5,52";"5,52";"";""
"17.06.22";"5,44";"5,44";"5,44";"5,44";"";""
"16.06.22";"5,48";"5,48";"5,48";"5,48";"";""
"15.06.22";"5,44";"5,44";"5,44";"5,44";"";""
"14.06.22";"5,52";"5,52";"5,52";"5,52";"";""
"13.06.22";"5,66";"5,66";"5,66";"5,66";"";""
"10.06.22";"5,82";"5,82";"5,82";"5,82";"";""
"09.06.22";"5,92";"5,92";"5,92";"5,92";"";""
"08.06.22";"5,92";"5,92";"5,92";"5,92";"";""
"07.06.22";"5,82";"5,82";"5,82";"5,82";"";""
"06.06.22";"5,80";"5,80";"5,80";"5,80";"";""
"03.06.22";"5,88";"5,88";"5,88";"5,88";"";""
"02.06.22";"6,10";"6,10";"6,10";"6,10";"";""
"01.06.22";"6,04";"6,04";"6,04";"6,04";"";""
"31.05.22";"5,96";"5,96";"5,96";"5,96";"";""
"30.05.22";"6,02";"6,02";"6,02";"6,02";"";""
"27.05.22";"5,88";"5,88";"5,88";"5,88";"";""
"26.05.22";"5,66";"5,66";"5,66";"5,66";"";""
"25.05.22";"5,84";"5,84";"5,84";"5,84";"";""
"24.05.22";"5,98";"5,98";"5,98";"5,98";"";""
"23.05.22";"5,94";"5,94";"5,94";"5,94";"";""
"20.05.22";"5,72";"5,72";"5,72";"5,72";"";""
"19.05.22";"5,78";"5,78";"5,78";"5,78";"";""
"18.05.22";"5,86";"5,86";"5,86";"5,86";"";""
"17.05.22";"5,88";"5,88";"5,88";"5,88";"";""
"16.05.22";"5,66";"5,66";"5,66";"5,66";"";""
"13.05.22";"5,52";"5,52";"5,52";"5,52";"";""
"12.05.22";"5,64";"5,64";"5,64";"5,64";"";""
"11.05.22";"5,58";"5,58";"5,58";"5,58";"";""
"10.05.22";"5,46";"5,46";"5,46";"5,46";"";""
"09.05.22";"5,80";"5,80";"5,80";"5,80";"";""
"06.05.22";"6,04";"6,04";"6,04";"6,04";"";""
"05.05.22";"5,92";"5,92";"5,92";"5,92";"";""
"04.05.22";"6,10";"6,10";"6,10";"6,10";"";""
"03.05.22";"6,00";"6,00";"6,00";"6,00";"";""
"02.05.22";"6,28";"6,28";"6,28";"6,28";"";""
"29.04.22";"6,22";"6,22";"6,22";"6,22";"";""
"28.04.22";"6,06";"6,06";"6,06";"6,06";"";""
"27.04.22";"6,10";"6,10";"6,10";"6,10";"";""
"26.04.22";"6,44";"6,44";"6,44";"6,44";"";""
"25.04.22";"6,42";"6,42";"6,42";"6,42";"";""
"22.04.22";"6,46";"6,46";"6,46";"6,46";"";""
"21.04.22";"6,50";"6,50";"6,50";"6,50";"";""
"20.04.22";"6,48";"6,48";"6,48";"6,48";"";""
"19.04.22";"6,64";"6,64";"6,64";"6,64";"";""
"14.04.22";"6,46";"6,46";"6,46";"6,46";"";""
"13.04.22";"6,60";"6,60";"6,60";"6,60";"";""
"12.04.22";"6,68";"6,68";"6,68";"6,68";"";""
"11.04.22";"6,72";"6,72";"6,72";"6,72";"";""
"08.04.22";"6,74";"6,74";"6,74";"6,74";"";""
"07.04.22";"6,72";"6,72";"6,72";"6,72";"";""
"06.04.22";"6,72";"6,72";"6,72";"6,72";"";""
"05.04.22";"6,84";"6,84";"6,84";"6,84";"";""
"04.04.22";"6,66";"6,66";"6,66";"6,66";"";""
"01.04.22";"6,50";"6,50";"6,50";"6,50";"";""
"31.03.22";"6,42";"6,94";"6,94";"6,42";"2.186";"315"
"30.03.22";"6,38";"6,38";"6,38";"6,38";"";""
"29.03.22";"6,38";"6,38";"6,38";"6,38";"";""
"28.03.22";"6,36";"6,36";"6,36";"6,36";"";""
"25.03.22";"6,36";"6,36";"6,36";"6,36";"";""
"24.03.22";"6,26";"6,26";"6,26";"6,26";"";""
"23.03.22";"6,38";"6,38";"6,38";"6,38";"";""
"22.03.22";"6,02";"6,02";"6,02";"6,02";"";""
"21.03.22";"6,00";"6,00";"6,00";"6,00";"";""
"18.03.22";"6,00";"6,00";"6,00";"6,00";"";""
"17.03.22";"6,00";"6,00";"6,00";"6,00";"";""
"16.03.22";"6,00";"6,00";"6,00";"6,00";"";""
"15.03.22";"5,66";"5,66";"5,66";"5,66";"";""
"14.03.22";"5,62";"5,62";"5,62";"5,62";"";""
"11.03.22";"5,56";"5,56";"5,56";"5,56";"";""
"10.03.22";"5,72";"5,72";"5,72";"5,72";"";""
"09.03.22";"5,60";"5,60";"5,60";"5,60";"";""
"08.03.22";"5,16";"5,16";"5,16";"5,16";"";""
"07.03.22";"5,40";"5,40";"5,40";"5,40";"";""
"04.03.22";"5,80";"5,80";"5,80";"5,80";"";""
"03.03.22";"5,92";"5,92";"5,92";"5,92";"";""
"02.03.22";"5,78";"5,78";"5,78";"5,78";"";""
"01.03.22";"5,94";"5,94";"5,94";"5,94";"";""
"28.02.22";"5,92";"5,92";"5,92";"5,92";"";""
"25.02.22";"5,80";"5,80";"5,80";"5,80";"";""
"24.02.22";"6,42";"6,42";"6,42";"6,42";"";""
"23.02.22";"6,52";"6,52";"6,52";"6,52";"";""
"22.02.22";"6,48";"6,48";"6,48";"6,48";"";""
"21.02.22";"6,80";"6,80";"6,80";"6,80";"";""
"18.02.22";"6,62";"6,62";"6,62";"6,62";"";""
"17.02.22";"6,74";"6,74";"6,74";"6,74";"";""
"16.02.22";"6,88";"6,88";"6,88";"6,88";"";""
"15.02.22";"6,76";"6,76";"6,76";"6,76";"";""
"14.02.22";"6,88";"6,88";"6,88";"6,88";"";""
"11.02.22";"6,88";"7,34";"7,34";"6,88";"404";"55"
"10.02.22";"6,92";"6,92";"6,92";"6,92";"";""
"09.02.22";"6,94";"6,94";"6,94";"6,94";"";""
"08.02.22";"7,42";"7,42";"7,42";"7,42";"15";"2"
"07.02.22";"6,86";"6,86";"6,86";"6,86";"";""
"04.02.22";"6,86";"6,86";"6,86";"6,86";"";""
"03.02.22";"6,88";"6,88";"6,88";"6,88";"";""
"02.02.22";"6,70";"6,70";"6,70";"6,70";"";""
"01.02.22";"6,72";"6,72";"6,72";"6,72";"";""
"31.01.22";"6,60";"6,60";"6,60";"6,60";"";""
