"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"31.01.23";"60,34";"60,08";"60,34";"59,78";"15.882";"265"
"30.01.23";"59,15";"59,62";"59,72";"59,15";"8.110";"137"
"27.01.23";"58,90";"59,52";"59,52";"58,90";"2.535";"43"
"26.01.23";"59,24";"59,21";"59,24";"59,21";"";""
"25.01.23";"59,33";"59,32";"59,33";"59,32";"";""
"24.01.23";"58,81";"59,53";"59,53";"58,81";"88.769";"1.501"
"23.01.23";"58,60";"58,60";"58,60";"58,60";"59";"1"
"20.01.23";"58,69";"58,80";"59,50";"58,63";"5.583";"95"
"19.01.23";"59,24";"59,05";"59,64";"59,05";"8.344";"140"
"18.01.23";"61,56";"59,67";"61,56";"59,67";"8.472";"138"
"17.01.23";"61,29";"61,98";"62,19";"61,29";"622";"10"
"16.01.23";"61,42";"62,30";"62,30";"61,42";"1.869";"30"
"13.01.23";"61,83";"61,78";"62,13";"61,63";"6.126";"99"
"12.01.23";"62,39";"61,43";"63,16";"61,43";"17.550";"280"
"11.01.23";"62,34";"62,20";"62,35";"62,20";"17.443";"280"
"10.01.23";"62,22";"62,50";"62,62";"62,22";"6.262";"100"
"09.01.23";"63,28";"63,26";"63,28";"63,26";"37.956";"600"
"06.01.23";"62,64";"63,83";"63,83";"62,64";"11.697";"184"
"05.01.23";"62,56";"62,71";"63,33";"62,56";"97.136";"1.539"
"04.01.23";"62,40";"63,13";"63,16";"62,40";"4.420";"70"
"03.01.23";"62,57";"62,61";"63,25";"62,57";"3.036";"48"
"02.01.23";"62,65";"62,79";"62,93";"62,11";"53.162";"845"
"30.12.22";"62,49";"62,60";"62,77";"62,49";"126";"2"
"29.12.22";"62,44";"62,74";"62,74";"62,44";"";""
"28.12.22";"63,41";"63,02";"63,73";"63,02";"4.043";"64"
"27.12.22";"63,02";"63,42";"63,64";"63,02";"2.651";"42"
"23.12.22";"62,81";"63,11";"63,11";"62,81";"2.520";"40"
"22.12.22";"62,75";"62,81";"62,89";"62,75";"5.026";"80"
"21.12.22";"62,08";"63,07";"63,17";"62,08";"22.257";"354"
"20.12.22";"61,51";"62,10";"62,10";"61,51";"5.001";"81"
"19.12.22";"62,10";"61,89";"62,56";"61,89";"37.817";"608"
"16.12.22";"62,45";"62,24";"62,94";"62,24";"88.023";"1.405"
"15.12.22";"62,89";"62,28";"62,89";"62,28";"8.165";"130"
"14.12.22";"63,53";"63,03";"63,53";"63,03";"";""
"13.12.22";"63,60";"64,00";"64,00";"63,60";"960";"15"
"12.12.22";"63,45";"63,33";"63,87";"63,31";"243.743";"3.833"
"09.12.22";"63,92";"64,19";"64,19";"63,92";"963";"15"
"08.12.22";"64,16";"64,79";"64,79";"64,16";"3.240";"50"
"07.12.22";"64,24";"64,19";"64,24";"64,19";"19.257";"300"
"06.12.22";"64,17";"64,00";"64,17";"64,00";"19.200";"300"
"05.12.22";"64,75";"63,99";"64,75";"63,92";"21.644";"336"
"02.12.22";"64,51";"64,51";"64,51";"64,51";"";""
"01.12.22";"64,37";"64,37";"64,37";"64,37";"";""
