Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
2019;;;;;;;;;;;;;;;;;;;
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;37019;e;4792;e;175004;e;1151855;e;707950;e;443906;e;298151;e;145755;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8771;e;1218;e;45414;e;433538;e;289867;e;143672;e;92096;e;51576;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2341;e;476249;e;60182;e;1420933;e;13053498;e;9906082;e;3147415;e;2160021;e;987394;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;394;e;102517;e;12283;e;385051;e;2739391;e;1829113;e;910278;e;613278;e;297000;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;35838;e;4073;e;128674;e;837261;e;490049;e;347212;e;227804;e;119408;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8781;e;1155;e;32310;e;386623;e;249703;e;136919;e;91275;e;45644;e
2022;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2324;e;471444;e;59690;e;1352429;e;12103851;e;8988987;e;3114864;e;2126698;e;988166;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;409;e;104470;e;13427;e;372120;e;2675091;e;1778700;e;896391;e;603648;e;292743;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);124;e;36371;e;4497;e;118012;e;820799;e;467552;e;353246;e;237821;e;115426;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8726;e;1163;e;32797;e;364973;e;236983;e;127990;e;81825;e;46166;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2359;e;474845;e;58327;e;1332592;e;12518242;e;9351029;e;3167213;e;2145152;e;1022061;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;103759;e;12873;e;364978;e;2844211;e;1917117;e;927094;e;632260;e;294834;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);124;e;35849;e;4299;e;114523;e;988125;e;592343;e;395783;e;271427;e;124356;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8753;e;1124;e;32002;e;375526;e;246495;e;129030;e;88577;e;40453;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2369;e;476996;e;63647;e;1423703;e;15066059;e;11441099;e;3624959;e;2494497;e;1130463;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;103684;e;13974;e;392424;e;3340145;e;2302326;e;1037819;e;704081;e;333738;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);124;e;35363;e;4554;e;118012;e;1060104;e;662633;e;397471;e;269408;e;128063;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8766;e;1221;e;34245;e;478212;e;319368;e;158844;e;102755;e;56090;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2370;e;476053;e;58071;e;1414816;e;13673611;e;10406359;e;3267252;e;2249618;e;1017634;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;103602;e;12030;e;381489;e;2731081;e;1846936;e;884144;e;600422;e;283723;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;35257;e;3767;e;112704;e;767839;e;447110;e;320729;e;214113;e;106616;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8741;e;1084;e;34126;e;400338;e;267149;e;133189;e;96032;e;37157;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2371;e;477141;e;61206;e;1455266;e;14442958;e;10851645;e;3591313;e;2457612;e;1133700;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;104290;e;13196;e;410210;e;2842668;e;1858180;e;984488;e;652161;e;332327;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;35787;e;4311;e;129805;e;761986;e;404444;e;357542;e;230793;e;126749;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8763;e;1145;e;34534;e;408849;e;254834;e;154015;e;98568;e;55447;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2370;e;480472;e;59883;e;1455995;e;14373156;e;10776161;e;3596996;e;2445222;e;1151774;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;105346;e;12758;e;392244;e;2850888;e;1873763;e;977125;e;639730;e;337395;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;36758;e;4211;e;120170;e;808516;e;455105;e;353412;e;220723;e;132689;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8735;e;1107;e;34138;e;391967;e;244878;e;147088;e;96779;e;50309;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2370;e;482441;e;59210;e;1418942;e;14001288;e;10468209;e;3533079;e;2382709;e;1150370;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;106086;e;12550;e;382879;e;2837293;e;1864448;e;972845;e;630852;e;341993;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37342;e;4212;e;119818;e;813933;e;458588;e;355345;e;219062;e;136283;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8745;e;1081;e;32205;e;418700;e;277229;e;141470;e;90300;e;51171;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2369;e;484799;e;61857;e;1418987;e;15100121;e;11253363;e;3846758;e;2575148;e;1271610;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;106931;e;13291;e;376809;e;3109303;e;2025112;e;1084191;e;684407;e;399784;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37737;e;4619;e;123931;e;1005597;e;553079;e;452519;e;279668;e;172850;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8794;e;1129;e;33742;e;406072;e;253306;e;152765;e;89932;e;62834;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2369;e;484855;e;61969;e;1444675;e;15691233;e;11649753;e;4041480;e;2764140;e;1277340;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;107707;e;13844;e;386523;e;3469805;e;2291980;e;1177825;e;770198;e;407628;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37815;e;4699;e;125747;e;1203106;e;681558;e;521548;e;341910;e;179638;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8864;e;1150;e;32657;e;449593;e;291626;e;157967;e;98410;e;59557;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2368;e;483642;e;59690;e;1456014;e;15244220;e;11405571;e;3838648;e;2612531;e;1226117;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;107630;e;13163;e;383722;e;3558776;e;2404398;e;1154378;e;761212;e;393166;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;38019;e;4489;e;125804;e;1286725;e;780086;e;506639;e;335861;e;170778;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8821;e;1100;e;33170;e;448540;e;296598;e;151941;e;89871;e;62070;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2365;e;484602;e;63197;e;1886302;e;16326664;e;12302592;e;4024073;e;2793749;e;1230324;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;107896;e;14394;e;553861;e;3807224;e;2610069;e;1197155;e;823943;e;373212;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;38157;e;4968;e;190503;e;1314639;e;789776;e;524863;e;352323;e;172540;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8853;e;1186;e;46415;e;483623;e;333264;e;150359;e;98755;e;51603;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2362;e;481989;e;59078;e;1522296;e;15491480;e;11844764;e;3646716;e;2524806;e;1121911;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;411;e;106819;e;12708;e;420850;e;3298894;e;2246080;e;1052815;e;707240;e;345575;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37184;e;4159;e;137259;e;965371;e;546046;e;419325;e;274614;e;144711;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8862;e;1093;e;34374;e;468073;e;312844;e;155229;e;96317;e;58912;e
2023;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2321;e;478258;e;61857;e;1449933;e;14984535;e;11152466;e;3832069;e;2661460;e;1170609;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;414;e;107490;e;14347;e;397256;e;3424813;e;2287091;e;1137722;e;786704;e;351018;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);122;e;37136;e;4837;e;127203;e;1084292;e;630686;e;453606;e;311540;e;142066;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;47;e;9206;e;1242;e;36104;e;432586;e;281069;e;151517;e;99194;e;52323;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2334;e;478175;e;58716;e;1419092;e;14800922;e;11115718;e;3685204;e;2538080;e;1147125;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;415;e;107137;e;13411;e;391303;e;3464998;e;2358166;e;1106832;e;766527;e;340304;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);122;e;36723;e;4532;e;125835;e;1184906;e;736520;e;448385;e;307242;e;141143;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;47;e;9225;e;1187;e;35231;e;422791;e;280050;e;142741;e;96803;e;45938;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2367;e;482368;e;64395;e;1519553;e;17263487;e;13017129;e;4246358;e;2918651;e;1327707;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;421;e;107617;e;14637;e;422598;e;3892823;e;2681411;e;1211413;e;828512;e;382901;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);122;e;36608;e;4790;e;124236;e;1201459;e;733953;e;467505;e;320953;e;146553;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;49;e;9431;e;1316;e;37235;e;533630;e;367617;e;166013;e;111935;e;54078;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2363;e;480562;e;56770;e;1491265;e;14394066;e;10859575;e;3534491;e;2448052;e;1086439;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;422;e;107464;e;12224;e;398144;e;3057593;e;2072530;e;985063;e;670781;e;314282;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37009;e;3844;e;119696;e;845310;e;491877;e;353433;e;239941;e;113493;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;49;e;9394;e;1143;e;36671;e;406565;e;266383;e;140182;e;91002;e;49180;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2363;e;482328;e;60883;e;1569824;e;15838556;e;11939776;e;3898781;e;2678527;e;1220254;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;422;e;107998;e;13279;e;434280;e;3358728;e;2249248;e;1109480;e;757403;e;352077;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;37518;e;4377;e;137590;e;915208;e;503053;e;412155;e;274466;e;137690;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;49;e;9452;e;1203;e;38187;e;449947;e;301663;e;148284;e;101051;e;47233;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2357;e;485636;e;61464;e;1560753;e;15674757;e;11708723;e;3966034;e;2712390;e;1253644;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;419;e;108912;e;13664;e;423766;e;3465054;e;2309068;e;1155986;e;763962;e;392024;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;38432;e;4604;e;128743;e;952782;e;521979;e;430803;e;275695;e;155108;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9407;e;1222;e;37729;e;458177;e;304079;e;154098;e;100087;e;54011;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2354;e;487498;e;60000;e;1550059;e;14474088;e;10863581;e;3610508;e;2489795;e;1120713;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;419;e;109756;e;13269;e;432597;e;3217138;e;2146249;e;1070889;e;704527;e;366362;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;39112;e;4534;e;139475;e;951656;e;518099;e;433557;e;274805;e;158751;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9451;e;1186;e;37040;e;419464;e;280323;e;139141;e;90702;e;48439;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2354;e;490757;e;62705;e;1531796;e;15462557;e;11562274;e;3900283;e;2689519;e;1210764;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;419;e;110741;e;13925;e;408298;e;3561952;e;2364817;e;1197135;e;779420;e;417715;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;39720;e;4893;e;136373;e;1166816;e;661738;e;505079;e;317660;e;187419;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9546;e;1253;e;36164;e;445425;e;288367;e;157057;e;99092;e;57965;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2353;e;491796;e;61068;e;1517134;e;15156558;e;11350696;e;3805862;e;2646974;e;1158888;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;419;e;111237;e;13795;e;411018;e;3539553;e;2342566;e;1196987;e;814739;e;382249;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;39652;e;4774;e;135465;e;1196533;e;627488;e;569045;e;385409;e;183637;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9583;e;1212;e;36994;e;446222;e;302407;e;143814;e;94380;e;49435;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2352;e;492176;e;61665;e;1579233;e;15527100;e;11612882;e;3914218;e;2792241;e;1121978;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;419;e;111354;e;13893;e;421172;e;3814402;e;2554145;e;1260256;e;887168;e;373089;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;39945;e;4816;e;140177;e;1324524;e;741039;e;583486;e;414193;e;169292;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9594;e;1223;e;36762;e;469394;e;325921;e;143473;e;93242;e;50231;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2348;e;493135;e;63962;e;2008877;e;16073198;e;12072097;e;4001102;e;2806018;e;1195084;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;418;e;111410;e;14786;e;595787;e;3994390;e;2705076;e;1289314;e;909506;e;379808;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;39903;e;5158;e;202847;e;1278386;e;727195;e;551192;e;387299;e;163893;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9584;e;1275;e;50921;e;529284;e;375286;e;153998;e;105610;e;48388;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2347;e;489662;e;57685;e;1604674;e;14689969;e;11252316;e;3437653;e;2406613;e;1031040;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;418;e;110207;e;12356;e;445021;e;3253164;e;2213081;e;1040083;e;726477;e;313606;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;e;38807;e;4066;e;153388;e;890615;e;478953;e;411662;e;283916;e;127746;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;48;e;9617;e;1130;e;38079;e;487513;e;346063;e;141451;e;95639;e;45812;e
2024;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2331;e;489350;e;64023;e;1593608;e;15065240;e;11176275;e;3888965;e;2725166;e;1163799;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;421;e;111517;e;14961;e;442500;e;3554781;e;2338105;e;1216676;e;841478;e;375198;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;38694;e;4956;e;146302;e;1055398;e;555877;e;499521;e;348062;e;151459;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10435;e;1395;e;41820;e;480744;e;316551;e;164193;e;105916;e;58276;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2353;e;492620;e;61885;e;1552774;e;14880642;e;11121994;e;3758648;e;2622864;e;1135784;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;425;e;111429;e;14257;e;428098;e;3565542;e;2396047;e;1169495;e;795308;e;374187;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;38146;e;4642;e;134643;e;1109892;e;639074;e;470817;e;335042;e;135775;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10486;e;1390;e;41233;e;492638;e;319635;e;173003;e;107995;e;65008;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2367;e;493844;e;61306;e;1639355;e;15505066;e;11675816;e;3829250;e;2666950;e;1162301;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;425;e;110972;e;13570;e;449989;e;3523691;e;2370612;e;1153080;e;772697;e;380382;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;37738;e;4318;e;136532;e;978047;e;548266;e;429781;e;293778;e;136003;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10464;e;1350;e;43002;e;477185;e;310290;e;166895;e;109478;e;57417;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2365;e;495003;e;62808;e;1662653;e;15354095;e;11458067;e;3896027;e;2713420;e;1182608;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;425;e;110977;e;14111;e;459369;e;3440653;e;2259857;e;1180796;e;787160;e;393636;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;37818;e;4478;e;136177;e;905108;e;466568;e;438540;e;296057;e;142483;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10418;e;1393;e;42930;e;475901;e;300396;e;175506;e;108880;e;66626;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2361;e;494753;e;60865;e;1703520;e;15205720;e;11340493;e;3865227;e;2692521;e;1172706;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;425;e;111870;e;13110;e;476363;e;3343040;e;2170616;e;1172424;e;765471;e;406953;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;38349;e;4090;e;151156;e;865419;e;443901;e;421518;e;283432;e;138086;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10420;e;1314;e;43177;e;477502;e;302926;e;174576;e;107343;e;67233;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2357;e;496660;e;60554;e;1657376;e;14751399;e;10941673;e;3809726;e;2668162;e;1141564;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;425;e;112206;e;13577;e;460339;e;3336461;e;2163549;e;1172912;e;787426;e;385485;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;39111;e;4474;e;145958;e;894096;e;441710;e;452386;e;300375;e;152010;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10414;e;1323;e;42754;e;437533;e;275339;e;162194;e;103826;e;58368;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2353;e;499550;e;64384;e;1656854;e;15706808;e;11637975;e;4068833;e;2822969;e;1245863;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;424;e;112861;e;14458;e;462991;e;3585461;e;2262239;e;1323222;e;869430;e;453792;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;39503;e;4790;e;143231;e;1008190;e;484220;e;523970;e;340094;e;183875;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10430;e;1410;e;41642;e;501565;e;320175;e;181390;e;109163;e;72228;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2351;e;501531;e;62303;e;1622473;e;14993490;e;11109803;e;3883687;e;2675598;e;1208089;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;424;e;113890;e;13720;e;437296;e;3454118;e;2190490;e;1263628;e;816498;e;447129;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);121;e;39865;e;4635;e;142081;e;1043746;e;511767;e;531979;e;348466;e;183513;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10557;e;1345;e;41876;e;478020;e;297047;e;180974;e;100442;e;80531;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2350;e;501671;e;62291;e;1620992;e;15450912;e;11478633;e;3972279;e;2775396;e;1196883;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;423;e;114434;e;14186;e;442847;e;3793149;e;2494136;e;1299014;e;884948;e;414066;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;40009;e;4692;e;143038;e;1260976;e;680526;e;580450;e;410040;e;170410;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10622;e;1366;e;42365;e;507852;e;326722;e;181131;e;108083;e;73048;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2349;e;501229;e;64342;e;1701008;e;16567679;e;12340421;e;4227257;e;2991548;e;1235709;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;423;e;113988;e;14682;e;455330;e;4172107;e;2752174;e;1419933;e;975813;e;444121;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;39845;e;4812;e;146513;e;1459711;e;810301;e;649409;e;465001;e;184409;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10655;e;1423;e;42998;e;554434;e;367561;e;186873;e;113923;e;72950;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2348;e;501958;e;63816;e;2155655;e;15956954;e;11987712;e;3969242;e;2790143;e;1179099;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;423;e;114102;e;14704;e;652640;e;3960172;e;2652159;e;1308013;e;903331;e;404682;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;39666;e;4916;e;221234;e;1307285;e;722924;e;584361;e;412229;e;172132;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10655;e;1400;e;56591;e;567454;e;395501;e;171954;e;117557;e;54397;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2348;e;498243;e;58660;e;1731009;e;15190998;e;11565926;e;3625072;e;2575929;e;1049142;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;423;e;112932;e;12524;e;490055;e;3481677;e;2349284;e;1132393;e;783503;e;348890;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;38759;e;3918;e;159670;e;980510;e;533132;e;447378;e;305659;e;141719;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;e;10647;e;1269;e;46019;e;545041;e;363795;e;181246;e;119071;e;62175;e
2025;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2342;p;496642;p;64091;p;1666295;p;15887240;p;11802897;p;4084343;p;2975585;p;1108758;p
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;430;p;114859;p;15087;p;465274;p;3827897;p;2490692;p;1337205;p;938762;p;398443;p
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);123;p;39643;p;5040;p;152145;p;1172512;p;614553;p;557959;p;400598;p;157360;p
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;46;p;10245;p;1393;p;42712;p;578140;p;386124;p;192015;p;126084;p;65931;p
Februar;;;;;;;;;;;;;;;;;;;
