"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"29.01.21";"46,40";"45,505";"46,40";"45,395";"2.963";"65"
"28.01.21";"46,35";"46,885";"46,885";"46,22";"12.229";"264"
"27.01.21";"46,84";"47,00";"47,155";"46,82";"39.455";"840"
"26.01.21";"47,20";"46,86";"47,20";"46,86";"29.466";"625"
"25.01.21";"46,375";"46,265";"46,46";"46,01";"53.476";"1.158"
"22.01.21";"45,86";"46,07";"46,17";"45,86";"23.736";"515"
"21.01.21";"47,235";"46,365";"47,76";"46,365";"37.666";"791"
"20.01.21";"46,90";"46,935";"47,27";"46,90";"10.064";"213"
"19.01.21";"47,145";"47,135";"47,40";"47,135";"1.043";"22"
"18.01.21";"47,295";"47,445";"47,525";"47,295";"9.023";"190"
"15.01.21";"47,00";"46,995";"47,015";"46,995";"9.964";"212"
"14.01.21";"47,21";"47,055";"47,21";"47,055";"4.706";"100"
"13.01.21";"46,875";"47,105";"47,105";"46,875";"9.845";"209"
"12.01.21";"47,085";"47,21";"47,21";"47,085";"4.898";"104"
"11.01.21";"47,45";"47,73";"47,735";"47,45";"143";"3"
"08.01.21";"47,185";"46,755";"47,435";"46,755";"8.309";"176"
"07.01.21";"46,30";"46,92";"46,92";"46,30";"";""
"06.01.21";"46,89";"46,60";"46,89";"46,60";"4.194";"90"
"05.01.21";"47,15";"47,13";"47,35";"47,13";"23.759";"503"
"04.01.21";"47,865";"47,60";"47,865";"47,36";"24.685";"518"
"30.12.20";"47,385";"47,555";"47,625";"47,385";"11.878";"250"
"29.12.20";"47,685";"47,76";"47,89";"47,395";"22.091";"464"
"28.12.20";"47,25";"47,505";"47,615";"47,25";"19.880";"420"
"23.12.20";"46,895";"47,255";"47,255";"46,895";"3.308";"70"
"22.12.20";"47,015";"47,13";"47,13";"47,015";"3.770";"80"
"21.12.20";"47,935";"47,555";"47,935";"47,555";"190";"4"
"18.12.20";"47,14";"47,39";"47,42";"47,14";"1.897";"40"
"17.12.20";"46,76";"46,835";"46,835";"46,76";"10.296";"220"
"16.12.20";"47,115";"47,095";"47,115";"47,095";"11.069";"235"
"15.12.20";"47,295";"47,055";"47,42";"47,055";"8.518";"180"
"14.12.20";"47,385";"47,13";"47,385";"47,13";"1.658";"35"
"11.12.20";"46,965";"46,985";"47,155";"46,965";"4.759";"101"
"10.12.20";"47,675";"47,265";"47,885";"47,265";"21.780";"460"
"09.12.20";"47,55";"47,855";"47,855";"47,55";"4.786";"100"
"08.12.20";"47,995";"47,965";"48,12";"47,965";"17.798";"371"
"07.12.20";"48,51";"48,395";"48,51";"48,395";"1.454";"30"
"04.12.20";"48,175";"48,385";"48,385";"48,175";"";""
"03.12.20";"48,15";"47,975";"48,225";"47,975";"43.130";"895"
"02.12.20";"48,205";"48,53";"48,53";"48,205";"3.057";"63"
"01.12.20";"48,40";"48,115";"48,49";"48,115";"15.154";"313"
"30.11.20";"47,80";"47,63";"47,80";"47,55";"1.238";"26"
"27.11.20";"48,385";"48,25";"48,50";"48,25";"3.201";"66"
"26.11.20";"48,16";"48,325";"48,53";"48,16";"12.597";"260"
"25.11.20";"48,505";"48,67";"48,78";"48,505";"26.041";"535"
"24.11.20";"48,43";"48,59";"48,59";"48,43";"3.401";"70"
"23.11.20";"48,265";"47,84";"48,265";"47,84";"";""
"20.11.20";"48,295";"48,385";"48,42";"48,09";"33.849";"700"
"19.11.20";"49,085";"48,37";"49,085";"48,37";"4.399";"90"
"18.11.20";"49,08";"49,685";"49,685";"49,08";"4.969";"100"
