GP19-A1018;Kaffee, geröstet;133553;e;-;;45581927;e;-;;-;;18;e;-;;45581927;e;-;;-;;18;e;123461;e;-;;44412537;e;-;;-;;19;e;-;;44412537;e;-;;-;;19;e;139022;e;-;;51974708;e;-;;-;;19;e;-;;51974708;e;-;;-;;19;e;121531;e;-;;44682778;e;-;;-;;20;e;-;;44682778;e;-;;-;;20;e;109680;e;-;;35192389;e;-;;-;;20;e;-;;35192389;e;-;;-;;20;e;116754;e;-;;40650994;e;-;;-;;20;e;-;;40650994;e;-;;-;;20;e;122958;e;-;;44086498;e;-;;-;;20;e;-;;44086498;e;-;;-;;20;e;114299;e;-;;41094955;e;-;;-;;20;e;-;;41094955;e;-;;-;;20;e;141605;e;-;;51335559;e;-;;-;;20;e;-;;51335559;e;-;;-;;20;e;149164;e;-;;53826553;e;-;;-;;21;e;-;;53826553;e;-;;-;;21;e;153804;e;-;;56973775;e;-;;-;;20;e;-;;56973775;e;-;;-;;20;e;128559;e;-;;44026992;e;-;;-;;20;e;-;;44026992;e;-;;-;;20;e
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A1014;Leb-, Honigkuchen, Kekse, Kleingebäck, Waffeln;130387;e;-;;47327495;e;-;;-;;47;e;-;;-;;-;;-;;-;;139841;e;-;;50080121;e;-;;-;;47;e;-;;-;;-;;-;;-;;161830;e;-;;57782701;e;-;;-;;47;e;-;;-;;-;;-;;-;;135580;e;-;;49887398;e;-;;-;;48;e;-;;-;;-;;-;;-;;137329;e;-;;50568798;e;-;;-;;48;e;-;;-;;-;;-;;-;;151523;e;-;;54920282;e;-;;-;;48;e;-;;-;;-;;-;;-;;152517;e;-;;53272522;e;-;;-;;48;e;-;;-;;-;;-;;-;;173329;e;-;;59018709;e;-;;-;;47;e;-;;-;;-;;-;;-;;192502;e;-;;66164974;e;-;;-;;48;e;-;;-;;-;;-;;-;;196539;e;-;;66191797;e;-;;-;;48;e;-;;-;;-;;-;;-;;189840;e;-;;60010384;e;-;;-;;48;e;-;;-;;-;;-;;-;;139857;e;-;;43802857;e;-;;-;;48;e;-;;-;;-;;-;;-;
GP19-A1017;Schokolade u.a. kakaohaltige Lebensmittelzubereit.;476975;e;-;;116885201;e;-;;-;;92;e;-;;-;;-;;-;;-;;598537;e;-;;120006211;e;-;;-;;91;e;-;;-;;-;;-;;-;;513771;e;-;;116303162;e;-;;-;;92;e;-;;-;;-;;-;;-;;370122;e;-;;92849513;e;-;;-;;89;e;-;;-;;-;;-;;-;;361292;e;-;;86592384;e;-;;-;;90;e;-;;-;;-;;-;;-;;431707;e;-;;103517799;e;-;;-;;91;e;-;;-;;-;;-;;-;;450625;e;-;;108787492;e;-;;-;;92;e;-;;-;;-;;-;;-;;529218;e;-;;124700568;e;-;;-;;92;e;-;;-;;-;;-;;-;;641402;e;-;;142673810;e;-;;-;;91;e;-;;-;;-;;-;;-;;710967;e;-;;149890307;e;-;;-;;90;e;-;;-;;-;;-;;-;;680198;e;-;;147108968;e;-;;-;;91;e;-;;-;;-;;-;;-;;449728;e;-;;100714711;e;-;;-;;92;e;-;;-;;-;;-;;-;
GP19-A1018;Kaffee, geröstet;118401;e;-;;42716045;e;-;;-;;20;e;-;;42716045;e;-;;-;;20;e;118668;e;-;;42338838;e;-;;-;;20;e;-;;42338838;e;-;;-;;20;e;134887;e;-;;49413048;e;-;;-;;20;e;-;;49413048;e;-;;-;;20;e;124530;e;-;;41094399;e;-;;-;;20;e;-;;41094399;e;-;;-;;20;e;115921;e;-;;38799259;e;-;;-;;20;e;-;;38799259;e;-;;-;;20;e;133924;e;-;;44267129;e;-;;-;;20;e;-;;44267129;e;-;;-;;20;e;135060;e;-;;44162459;e;-;;-;;20;e;-;;44162459;e;-;;-;;20;e;127211;e;-;;44169297;e;-;;-;;20;e;-;;44169297;e;-;;-;;20;e;143533;e;-;;48995455;e;-;;-;;20;e;-;;48995455;e;-;;-;;20;e;140871;e;-;;44263052;e;-;;-;;20;e;-;;44263052;e;-;;-;;20;e;162377;e;-;;57264713;e;-;;-;;20;e;-;;57264713;e;-;;-;;20;e;148256;e;-;;44714271;e;-;;-;;20;e;-;;44714271;e;-;;-;;20;e
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A1014;Leb-, Honigkuchen, Kekse, Kleingebäck, Waffeln;128952;e;-;;44740332;e;-;;-;;46;e;-;;-;;-;;-;;-;;141638;e;-;;48393573;e;-;;-;;46;e;-;;-;;-;;-;;-;;161547;e;-;;56986350;e;-;;-;;47;e;-;;-;;-;;-;;-;;143726;e;-;;51741551;e;-;;-;;46;e;-;;-;;-;;-;;-;;163953;e;-;;56725340;e;-;;-;;46;e;-;;-;;-;;-;;-;;163052;e;-;;56083222;e;-;;-;;46;e;-;;-;;-;;-;;-;;153298;e;-;;52406868;e;-;;-;;46;e;-;;-;;-;;-;;-;;188605;e;-;;62357525;e;-;;-;;46;e;-;;-;;-;;-;;-;;206622;e;-;;67863858;e;-;;-;;47;e;-;;-;;-;;-;;-;;201719;e;-;;62729056;e;-;;-;;47;e;-;;-;;-;;-;;-;;222565;e;-;;64195414;e;-;;-;;47;e;-;;-;;-;;-;;-;;149643;e;-;;43815230;e;-;;-;;47;e;-;;-;;-;;-;;-;
GP19-A1017;Schokolade u.a. kakaohaltige Lebensmittelzubereit.;525599;e;-;;123801141;e;-;;-;;92;e;-;;-;;-;;-;;-;;573148;e;-;;125288879;e;-;;-;;93;e;-;;-;;-;;-;;-;;594322;e;-;;125851544;e;-;;-;;92;e;-;;-;;-;;-;;-;;398802;e;-;;96219999;e;-;;-;;91;e;-;;-;;-;;-;;-;;427434;e;-;;103113891;e;-;;-;;90;e;-;;-;;-;;-;;-;;438985;e;-;;98291963;e;-;;-;;91;e;-;;-;;-;;-;;-;;439551;e;-;;103224765;e;-;;-;;92;e;-;;-;;-;;-;;-;;572693;e;-;;129682059;e;-;;-;;93;e;-;;-;;-;;-;;-;;669126;e;-;;141599496;e;-;;-;;93;e;-;;-;;-;;-;;-;;696630;e;-;;135239182;e;-;;-;;91;e;-;;-;;-;;-;;-;;726370;e;-;;146166567;e;-;;-;;92;e;-;;-;;-;;-;;-;;514226;e;-;;108645852;e;-;;-;;91;e;-;;-;;-;;-;;-;
GP19-A1018;Kaffee, geröstet;164383;e;-;;46202398;e;-;;-;;20;e;-;;46202398;e;-;;-;;20;e;144183;e;-;;42462824;e;-;;-;;19;e;-;;42462824;e;-;;-;;19;e;182918;e;-;;50589247;e;-;;-;;19;e;-;;50589247;e;-;;-;;19;e;161644;e;-;;42545043;e;-;;-;;19;e;-;;42545043;e;-;;-;;19;e;168171;e;-;;42018714;e;-;;-;;19;e;-;;42018714;e;-;;-;;19;e;156924;e;-;;41292745;e;-;;-;;19;e;-;;41292745;e;-;;-;;19;e;150838;e;-;;36482259;e;-;;-;;19;e;-;;36482259;e;-;;-;;19;e;172902;e;-;;42410256;e;-;;-;;19;e;-;;42410256;e;-;;-;;19;e;170518;e;-;;43492287;e;-;;-;;19;e;-;;43492287;e;-;;-;;19;e;155439;e;-;;40405083;e;-;;-;;20;e;-;;40405083;e;-;;-;;20;e;187035;e;-;;46470173;e;-;;-;;19;e;-;;46470173;e;-;;-;;19;e;142509;e;-;;35870828;e;-;;-;;19;e;-;;35870828;e;-;;-;;19;e
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
